model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,4.64114906785628,11.187114190406477,92.378809462932,6.367454600551377,14.690215297923201,101.47542360196941,8.029355046512118,16.7768885362147,109.7967277920354,9.268647331716425,18.67655704537194,117.58783269121321,9.370318727269904,18.672906747304115,122.35158428056572,9.33382965619473,18.601113681307382,121.24624113496931,46.81354522705078,0.8888888888888888,0.6808510638297872
Naive,4.706247308308251,12.068318464272307,53.85485495022062,7.531609627961053,18.465818379329168,74.6359566200205,9.50370448406746,22.561707637317152,87.70999010123055,10.963505635679738,25.275653473868847,97.03133222981928,11.81901635908019,26.723172742324948,103.15870035732779,11.934364915474571,26.92440310312381,104.96249003494033,46.81354522705078,0.7058823529411765,0.7659574468085106
LightGBM,4.7471485267954145,11.68103095181964,93.70679308465195,6.519085953080128,14.363647010810956,106.12365176767157,8.259310297768751,17.16361901642632,116.27131039977581,9.114346605293418,18.23622136653392,120.70801384189944,9.068522459056355,18.188764741312458,122.39584211193694,9.352803534539772,18.609452140159778,123.62206624525307,46.81354522705078,0.813953488372093,0.7446808510638298
XGBoost,4.964189529418945,14.308950458801018,93.73324584960938,6.591070175170898,14.292195806170374,106.22652435302734,8.442449569702148,17.748388942622192,115.65716552734375,9.356497764587402,18.85913470098567,121.50751495361328,9.383244514465332,18.712802457945152,123.52442932128906,9.334965705871582,18.302911845694116,124.03517150878906,46.81354522705078,0.7346938775510204,0.7659574468085106
LSTM,8.614748001098633,18.935836064224148,121.58067321777344,8.544662475585938,18.92081937987516,131.44613647460938,8.45781135559082,18.91270792986119,133.4876708984375,8.260322570800781,18.776312917018945,129.45213317871094,8.144166946411133,18.87548827493444,126.18888854980469,7.953226089477539,18.645804236476366,113.94884490966797,46.81354522705078,0.08333333333333333,0.0425531914893617
SeasonalNaive,9.047292486227724,24.16342307723346,84.27815599223194,8.964256023929039,24.10611139425331,83.63994693316019,8.92694840311346,24.107668626548342,83.62853073888687,8.900994740769336,24.104554140595024,83.72761270174561,8.877774558647365,24.095327161753545,84.08475277695581,8.789602019270951,23.78148397283447,84.97555278661042,46.81354522705078,0.1568627450980392,0.1702127659574468
Prophet,9.245656088201569,19.4652482254234,148.85886851613068,9.278933371959178,19.613011822414656,149.1960910270054,9.657584077882204,20.246145776233572,151.30063736554524,10.129938698819268,20.98895000176301,153.30610699608317,10.651670960332929,21.692112803848996,155.95811557588058,10.956447361075945,21.914113517068042,157.08066446790755,46.81354522705078,0.0,0.0
