province,MAE
squeezed_Lai Châu,1.2046016875122276
squeezed_Hà Giang,1.255256597437578
squeezed_Cao Bằng,1.3267508674381332
squeezed_Quảng Ninh,1.5468588300858161
squeezed_Lào Cai,1.5648137458749432
squeezed_Nghệ An,1.587087413679941
squeezed_Hải Dương,1.6375151744037872
squeezed_Bắc Kạn,1.7769723964378226
squeezed_Hà Tĩnh,1.9401674244414575
squeezed_Điện Biên,2.0111366010133778
squeezed_Hải Phòng,2.024348385590579
squeezed_Thái Nguyên,2.1662862253948627
squeezed_Yên Bái,2.2398125452854085
squeezed_TT Huế,2.302437192233515
squeezed_Sơn La,2.41413105597429
squeezed_Tuyên Quang,2.426571781362821
squeezed_Quảng Bình,2.699305336237169
squeezed_Tiền Giang,2.758757495082224
squeezed_Lâm Đồng,2.8404387551647226
squeezed_Thái Bình,2.9017558495578655
squeezed_Bắc Giang,2.978360625322518
squeezed_Lạng Sơn,3.030346130642672
squeezed_Ninh Bình,3.130825187869069
squeezed_An Giang,3.1365488783000877
squeezed_Vĩnh Phúc,3.1606615013609587
squeezed_Hưng Yên,3.303008645090486
squeezed_Tây Ninh,3.3032967405545217
squeezed_Hòa Bình,3.3274023403830655
squeezed_Kiên Giang,3.446317858810969
squeezed_Bạc Liêu,3.5802739818588853
squeezed_Trà Vinh,3.5965480328568624
squeezed_Quảng Ngãi,3.6105008524845474
squeezed_Long An,3.708937136282491
squeezed_Đồng Tháp,3.9127819865252405
squeezed_Cần Thơ,3.985938099494543
squeezed_Phú Thọ,4.010850376127428
squeezed_Cà Mau,4.160644583720373
squeezed_Ninh Thuận,4.389821317988127
squeezed_Quảng Trị,4.733191910506036
squeezed_Quảng Nam,4.7592511808872375
squeezed_Phú Yên,5.044268324357479
squeezed_Bình Định,5.210802321067942
squeezed_BR Vũng Tàu,5.285412590842867
squeezed_Bình Phước,5.571723142563921
squeezed_Sóc Trăng,6.13980580780337
squeezed_Thanh Hóa,6.49470494148115
squeezed_Đắk Nông,6.544218749536221
squeezed_Bình Thuận,6.691457016667301
squeezed_Kon Tum,9.456801650700369
squeezed_Khánh Hòa,10.924345403112795
squeezed_Nam Định,12.503052397946519
squeezed_Đà Nẵng,14.563874115985437
squeezed_Đắk Lắk,15.230354809450914
squeezed_Hà Nội,15.838756479494018
squeezed_Gia Lai,15.873108253810429
