model,wilcoxon_stat,p_value
Naive,163007.0,3.523090878802485e-05
Prophet,226647.0,1.0252727168960562e-20
XGBoost,323224.0,0.4338179168721352
HistGB,309638.0,0.04708314277770557
LSTM,285415.0,0.002216440867277642
