,Influenza_rates,Dengue_fever_rates,Diarrhoea_rates
Influenza_rates,1.0,-0.053878171865033804,0.6208265364884643
Dengue_fever_rates,-0.053878171865033804,1.0,-0.08884046478697155
Diarrhoea_rates,0.6208265364884643,-0.08884046478697155,1.0
