model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,4.571335911400568,11.135146873800062,91.44109555630389,6.382542717450521,14.650691338756724,101.29054715076747,7.659089021271641,16.528227355144022,108.99125241705785,8.713330676631351,17.939300204822278,120.15002915714894,8.85497350351802,17.9021579338782,124.31242146060586,9.20612177984109,18.149344768365737,124.8678272028636,35.297635269165035,0.8070175438596491,0.696969696969697
XGBoost,4.674795150756836,12.828543095158388,95.05026340484619,6.286425590515137,13.995145773610554,106.94783926010132,7.718865394592285,16.700958882288486,115.53691625595093,9.067185401916504,19.25918875026566,121.79321050643921,8.876664161682129,18.045698859131313,123.79297018051147,8.960701942443848,17.987128848129675,123.57532978057861,35.297635269165035,0.704225352112676,0.7575757575757576
LightGBM,4.682988561312134,11.040220770291665,95.1034285739986,6.3321519888082785,13.917754900018322,109.36086762744081,7.9752612112876236,16.456691216904005,117.06803068410639,8.912079592363861,18.309459392415675,121.71783724282605,8.900586056141927,18.031213700255332,124.87053324088674,9.031308192332547,18.46627489814275,125.13833651378059,35.297635269165035,0.7142857142857143,0.7575757575757576
Naive,7.775563372098959,19.060443497807842,72.88838692755017,11.488878951523626,26.495418043094922,93.9170628407204,12.655857489628762,28.66393562348452,101.1899061212669,11.482319663305132,27.32336824566581,98.13632082078013,9.462678540513163,24.480365176484185,89.10789828195357,8.789602019270951,23.78148397283447,84.97555278661042,35.297635269165035,0.43243243243243246,0.48484848484848486
LSTM,8.598639488220215,18.526611159219645,119.34865713119507,8.435297966003418,18.34896480124543,122.45850563049316,8.407206535339355,18.357457512898964,130.07564544677734,8.290724754333496,18.301504538134974,130.2694797515869,8.09301471710205,18.335657053404933,123.92052412033081,7.900545597076416,18.29076108088367,120.33627033233643,35.4600715637207,0.21739130434782608,0.23076923076923078
Prophet,9.251924252303816,19.461243171407855,148.90946115407772,9.279951534717013,19.59040990403792,149.19307614809793,9.657146367723286,20.20710113228255,151.34010020390298,10.120230469409227,20.945562222633352,153.26146568901098,10.63869026672541,21.654177131199564,155.86149290998813,10.94952862324578,21.888653590623132,156.99119096507374,35.297635269165035,0.3157894736842105,0.09090909090909091
SeasonalNaive,9.848743174950554,25.176749441035806,90.70312274400891,11.155658245622037,27.172846242909472,100.98045235016922,11.479005707828755,27.877904941045873,106.4060422832765,10.728283814569968,27.03414545217021,101.20356802570602,9.346341967523989,24.933009861590335,94.46983131410676,8.55451348405773,22.539098936379553,98.63904304959104,35.297635269165035,0.23943661971830985,0.25757575757575757
