model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,4.656708301809338,4.571335901390039,-1.8333207683660842,4.1384368223672794e-05,True
HistGB,MAE@2,6.43990650561525,6.382542700306915,-0.8907552502247827,0.0036695456244337527,True
HistGB,MAE@3,7.990188061982473,7.659088999602701,-4.143820643661075,8.882295613359145e-11,True
HistGB,MAE@4,9.326252817853216,8.713330665109897,-6.572008766157449,8.590883319994864e-12,True
HistGB,MAE@5,9.089877207122942,8.854973491321948,-2.58423420304205,0.0012424172310562332,True
HistGB,MAE@6,9.550948073934302,9.206121769086742,-3.610388227202625,0.0011916531611699914,True
XGBoost,MAE@1,4.9850770416382275,4.674795004693265,-6.224217486576611,0.01363392687579897,True
XGBoost,MAE@2,6.674958013675606,6.286425847602501,-5.820743220812524,0.007740183010609145,True
XGBoost,MAE@3,8.210140238684849,7.718865969351894,-5.983750034112087,1.4390109170641698e-07,True
XGBoost,MAE@4,9.245310048215455,9.067185129178636,-1.9266516548160608,0.0017331746881569013,True
XGBoost,MAE@5,9.539581613992045,8.876665012173591,-6.949116100082738,1.738965258369616e-05,True
XGBoost,MAE@6,9.536537424125228,8.960701624227804,-6.038206261747512,2.56060702541488e-06,True
LSTM,MAE@1,8.821588039843254,8.598640513078951,-2.5272946974778963,0.0716125024542706,False
LSTM,MAE@2,8.76649350176377,8.435297469882036,-3.7779761293965484,0.7437420913066292,False
LSTM,MAE@3,8.534562811533991,8.407206754809936,-1.4922387887513207,0.19911579291519055,False
LSTM,MAE@4,8.354477543588203,8.290725434096622,-0.7630891238735675,0.01935791028821042,True
LSTM,MAE@5,8.154475163502028,8.093014196628543,-0.7537084317648421,0.47045812473350135,False
LSTM,MAE@6,8.007551181348951,7.9005455791859305,-1.3363086883822408,0.5632275586291204,False
LightGBM,MAE@1,4.756334999674009,4.682988556134658,-1.5420790071426418,0.00038281975789361783,True
LightGBM,MAE@2,6.522112442941963,6.332151971646406,-2.912560507924499,0.023829506449767803,True
LightGBM,MAE@3,8.169064842582687,7.97526119962959,-2.372409164178271,0.027367963409596727,True
LightGBM,MAE@4,9.073315891640956,8.912079577952257,-1.7770384676812825,0.0004874730280227136,True
LightGBM,MAE@5,9.195233521166893,8.900586038430127,-3.2043501892421133,0.0008863339086071384,True
LightGBM,MAE@6,9.283479194238723,9.031308178135598,-2.7163416950362826,0.004483950494746963,True
