model,wilcoxon_stat,p_value
Naive,154502.0,4.484132971035111e-34
Prophet,250261.0,5.757636276055678e-41
XGBoost,344891.0,4.957845001694539e-11
HistGB,355539.0,6.4933593657253695e-09
LightGBM,348950.0,3.4037840032714034e-10
LSTM,317160.0,1.5019710340302336e-14
