province,MAE
squeezed_Lai Châu,0.5193673381641412
squeezed_Hà Giang,0.9884742237747867
squeezed_Cao Bằng,1.5574813578540105
squeezed_Bắc Kạn,1.562152436763924
squeezed_Sơn La,1.6473451011128295
squeezed_Lạng Sơn,1.8493082515629828
squeezed_Yên Bái,1.8787230208087795
squeezed_Lào Cai,2.006907846439939
squeezed_Quảng Ninh,2.15115930989748
squeezed_Hà Tĩnh,2.420993916170998
squeezed_Bắc Giang,3.1362085644985886
squeezed_Nghệ An,3.1541460316223415
squeezed_Thái Bình,3.264100425992504
squeezed_Điện Biên,3.5462074382638087
squeezed_Hải Dương,3.636962608585112
squeezed_Ninh Bình,3.736421147422887
squeezed_Lâm Đồng,3.8579298472754786
squeezed_Hòa Bình,4.257473382201129
squeezed_Quảng Bình,4.373080996121263
squeezed_Tiền Giang,4.614309826490704
squeezed_Vĩnh Phúc,4.89906492991508
squeezed_Hưng Yên,5.062881419381758
squeezed_Hải Phòng,5.09392181293287
squeezed_Tuyên Quang,5.172747134418331
squeezed_Phú Thọ,5.479949747695467
squeezed_Bình Định,5.692288164371071
squeezed_Bình Thuận,5.897910246532931
squeezed_Quảng Trị,6.152802135090035
squeezed_An Giang,6.169295399283707
squeezed_Thanh Hóa,6.360498601121246
squeezed_Long An,6.487716683917497
squeezed_Bạc Liêu,6.728918948455683
squeezed_Cà Mau,6.736338179466681
squeezed_Đồng Tháp,7.181247943215939
squeezed_BR Vũng Tàu,7.2217056344494415
squeezed_Trà Vinh,8.300140351762762
squeezed_Phú Yên,8.322040634563772
squeezed_Sóc Trăng,8.53548762179077
squeezed_Đắk Nông,9.82377197741445
squeezed_Bình Phước,9.975296924482786
squeezed_Kon Tum,11.176431803214195
squeezed_Tây Ninh,11.655087110334618
squeezed_Cần Thơ,11.798304466107533
squeezed_Nam Định,15.19194572340514
squeezed_Hà Nội,18.576450535322902
squeezed_Đắk Lắk,19.800602525482905
squeezed_Đà Nẵng,25.218787480118152
squeezed_Gia Lai,26.980413353425376
