province,feature,importance
squeezed_An Giang,Total_Evaporation,0.010662838884124662
squeezed_An Giang,Total_Rainfall,0.038164276937931105
squeezed_An Giang,Max_Daily_Rainfall,0.12816143258392634
squeezed_An Giang,n_raining_days,0.008360251748524906
squeezed_An Giang,Average_temperature,0.006201380746905093
squeezed_An Giang,Max_Average_Temperature,0.05454970245319161
squeezed_An Giang,Min_Average_Temperature,0.0025456806078768997
squeezed_An Giang,Max_Absolute_Temperature,0.04397980942599338
squeezed_An Giang,Min_Absolute_Temperature,0.30696349738740564
squeezed_An Giang,Average_Humidity,0.050980681652662584
squeezed_An Giang,Min_Humidity,0.06953245801241557
squeezed_An Giang,n_hours_sunshine,0.11196892877560088
squeezed_An Giang,population_male,0.008913624798667537
squeezed_An Giang,population_female,0.007057323421373905
squeezed_An Giang,population_urban,0.016305492258939885
squeezed_An Giang,population_countryside,0.1231655147326761
squeezed_An Giang,Influenza_rates,1.4335450528525124
squeezed_An Giang,Diarrhoea_rates,36.91113473150127
squeezed_An Giang,Diarrhoea_rates_lag1,12.819445080182449
squeezed_An Giang,Diarrhoea_rates_lag2,1.3301436408725014
squeezed_An Giang,Diarrhoea_rates_lag3,0.20527323690077715
squeezed_An Giang,Diarrhoea_rates_lag4,1.3574648455498572
squeezed_An Giang,Diarrhoea_rates_lag5,1.0549981976383969
squeezed_An Giang,Diarrhoea_rates_lag6,1.4030470469627774
squeezed_An Giang,Diarrhoea_rates_lag7,0.09884675787026294
squeezed_An Giang,Diarrhoea_rates_lag8,0.29989524360929093
squeezed_An Giang,Diarrhoea_rates_lag9,0.3700715844542663
squeezed_An Giang,Diarrhoea_rates_lag10,0.7783583572542195
squeezed_An Giang,Diarrhoea_rates_lag11,0.993767488955152
squeezed_An Giang,Diarrhoea_rates_lag12,1.7721924776376785
squeezed_An Giang,Total_Evaporation_lag1,0.025542344345691397
squeezed_An Giang,Total_Evaporation_lag2,0.278608963138461
squeezed_An Giang,Total_Evaporation_lag3,0.013025949345337863
squeezed_An Giang,Total_Evaporation_lag4,0.01713906245852796
squeezed_An Giang,Total_Evaporation_lag5,0.06554431916570316
squeezed_An Giang,Total_Evaporation_lag6,0.009446246696827013
squeezed_An Giang,Total_Evaporation_lag7,0.006023589492181815
squeezed_An Giang,Total_Evaporation_lag8,0.07945901478551831
squeezed_An Giang,Total_Evaporation_lag9,0.007901619583432717
squeezed_An Giang,Total_Evaporation_lag10,0.006188963547199097
