model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,3.0556867999361548,6.5981587311612655,109.30218651082559,4.712262097226352,9.64012418697478,118.3436398860608,5.962259470120431,11.260951152267861,127.27081321477885,6.812886105010565,13.370922215293941,129.19742445965787,7.2446212361584115,13.697142530357008,129.59226975153643,7.667792097360916,14.501244568560177,129.61839655379347,27.055674,0.6906214574211723,0.7057471264367816
LSTM,6.627614736557007,12.884132415469093,134.6532775878906,6.4434709548950195,12.853050218002405,132.2665054321289,6.4144449710845945,12.886401828640823,131.29398040771486,6.371021127700805,13.015124922119188,128.6604461669922,6.588735198974609,13.856889666681473,128.21285247802734,6.9839095115661625,14.778812434078521,126.60851287841797,24.562098,0.08793265993265993,0.40714285714285714
LightGBM,2.9595430595986754,6.30612204395951,108.9365244981429,4.6522310518806895,9.53695107557187,119.99311815309534,5.7399391897623815,11.381287754945356,124.26105483489066,6.545271364884572,12.631421615947989,128.71855593239678,7.065468340033824,13.33191257030783,129.48016149740332,7.601868711471797,14.308502621401445,129.3271640823442,27.055674,0.7089723753553845,0.7388505747126437
Naive,4.551073681214747,11.194665658386025,70.75683833397973,7.051272081745042,15.980176888436038,90.75981591862981,8.206960881281125,17.7498743162843,98.7324781922683,8.232511354812571,18.067255705974816,98.52727137067647,7.910463208165552,18.269164592359736,91.07243585405949,7.5769581572469376,18.24711530275173,85.99438214681763,27.055674,0.5065694386258903,0.4809195402298851
SeasonalNaive,6.270734863423933,15.966875480675778,82.18504241784646,7.238116441199483,17.759790643377833,90.3517307082724,8.098989539496804,19.276615830933814,99.44962621455329,8.321834324173553,19.846316104987505,100.50196634217747,8.016926311429334,19.641050408542895,94.26330581720134,7.694545800832392,19.673132350084472,89.58755862532425,27.055674,0.21837173579109065,0.36689655172413793
XGBoost,3.017897844314575,6.909366608362193,106.87338562011719,4.8496605396270756,10.34503662249526,119.62441864013672,6.022458171844482,12.250990929449184,124.9013671875,7.017005348205567,15.352291659118766,127.18309478759765,7.5008752822875975,14.294399262526861,128.35998992919923,7.705788230895996,14.690399041374866,127.82655029296875,27.055674,0.70465537336227,0.7397701149425288
