feature,importance
Max_Daily_Rainfall_lag8,0.11122464
Average_Humidity_lag11,0.110407345
Average_Humidity_lag3,0.105866745
Min_Average_Temperature_lag9,0.10400422
Max_Absolute_Temperature_lag9,0.10325894
population_countryside_lag6,0.10313009
population_countryside_lag8,0.10258949
population_urban_lag6,0.10027585
Min_Humidity_lag9,0.09920958
Total_Evaporation_lag9,0.09800302
Min_Humidity_lag5,0.0979431
n_raining_days_lag12,0.09729713
n_raining_days_lag8,0.09693904
Min_Average_Temperature_lag6,0.096789695
population_male_lag2,0.09345939
population_countryside_lag2,0.09343682
population_countryside_lag4,0.09198647
urban_water_usage_rate,0.091821015
population_countryside_lag1,0.0915627
Average_temperature_lag2,0.09135496
Average_Humidity_lag2,0.090955496
Average_Humidity_lag7,0.08977482
population_countryside_lag12,0.0896581
population_countryside_lag9,0.08910683
population_male_lag8,0.08781746
Min_Average_Temperature_lag12,0.08773491
population_countryside_lag11,0.087346904
n_raining_days_lag6,0.085653745
Average_Humidity_lag10,0.0842848
population_female_lag5,0.083192065
Average_temperature_lag9,0.08193874
population_urban_lag3,0.079824425
Min_Absolute_Temperature_lag11,0.07981318
population_countryside_lag5,0.07920408
Max_Absolute_Temperature_lag6,0.07706271
Average_Humidity_lag6,0.07676217
Max_Daily_Rainfall_lag7,0.07599383
n_raining_days_lag7,0.075233236
population_female_lag7,0.06168837
population_countryside_lag3,0.061455812
population_urban_lag10,0.060156003
population_urban_lag9,0.060099535
population_male_lag10,0.05980037
population_female_lag10,0.059445474
population_female_lag2,0.059433777
population_female_lag9,0.058741014
population_male_lag1,0.058699414
population_urban_lag12,0.05452163
population_male_lag3,0.052172285
population_urban_lag2,0.050117616
population_female_lag3,0.048229363
population_female_lag1,0.045527846
population_male_lag5,0.044071797
population_urban_lag1,0.043463115
population_male_lag4,0.043053325
population_male_lag7,0.042766415
population_countryside_lag10,0.041098963
population_urban_lag7,0.03973414
population_countryside_lag7,0.038091093
population_urban_lag4,0.037604716
population_female_lag6,0.037082236
population_urban_lag5,0.036936816
population_female_lag4,0.036284458
population_male_lag11,0.03075561
population_male_lag12,0.029022787
population_female_lag8,0.023177298
population_female_lag12,0.020159967
population_male_lag9,0.02008099
population_male_lag6,0.018651498
