model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,11.27461904999852,22.201356007732123,26.453291980232933,12.726511986077861,23.5626731842515,29.9605389140058,13.478960966141878,24.36550321039787,31.56457914316703,14.582108781084159,26.07954523590027,34.00569722306837,14.89738033638967,26.11932198955251,35.18204965794063,15.814821971113384,26.96270384795708,36.99129761145434,294.64080200195315,0.8374825174825175,0.7154761904761905
LSTM,30.256471633911133,44.14822827076512,53.20180969238281,30.625937271118165,44.59614604649798,54.354148864746094,30.76394577026367,44.67386281776878,55.25269241333008,30.90608367919922,44.72155221352479,56.31416473388672,31.223617172241212,45.09818933766146,57.38127899169922,31.276516342163085,44.88362225173606,58.19538803100586,294.64080200195315,0.0,0.0
LightGBM,11.388362164315396,21.959383501407807,26.849743496905905,12.609065039952306,23.206914721182475,30.087271347227368,13.996845162087018,24.970519441651383,32.73326981913259,14.890091915210089,26.172222370034024,34.52012417113576,15.547295403417078,26.707390767554546,36.59074242740731,15.877121127824967,27.18652588046016,37.5689223145416,294.64080200195315,0.8598901098901098,0.7338095238095239
Naive,10.620013737023479,25.03237209849267,22.32657716339021,12.4750923629949,26.690346501123564,26.789568213281523,13.743518330433925,28.546545496212474,28.998997197117653,15.128925954257483,30.81446512764012,31.669131825198207,15.427288534702635,31.035274054154705,32.70771812143915,15.960319870385723,31.87219225039653,34.419071015973635,294.64080200195315,0.6915492350786467,0.7139285714285715
SeasonalNaive,16.085562599839808,32.33953970656516,32.69242578709363,16.253257403477598,32.945803767927465,33.421708231059576,16.1730424722654,33.22610555373287,33.59322094932283,16.249160451441107,33.53377138312184,34.21261080138454,16.33952596978739,33.88464863045397,34.80964049797848,16.429215206175265,33.749412079802504,35.28683549906318,294.64080200195315,0.6901194161875276,0.8705952380952381
XGBoost,11.693718528747558,22.32307633788427,27.581546783447266,13.045398902893066,24.05436821223292,30.18668403625488,14.404409790039063,26.066434257087856,32.605966567993164,14.751800727844238,26.657278224244635,33.99905700683594,15.057359886169433,26.854109221028715,35.179125213623045,15.817060470581055,28.419399568603126,36.40398178100586,294.64080200195315,0.822893772893773,0.6863095238095238
