province,MAE
squeezed_Hải Phòng,1.0286248106435218
squeezed_Hà Nội,1.449355735467373
squeezed_Phú Thọ,2.0769361240242867
squeezed_Thanh Hóa,2.8480153052491723
squeezed_Tây Ninh,2.9274964528110785
squeezed_Bình Định,3.196588780237491
squeezed_Hà Tĩnh,3.2694201863639734
squeezed_Kiên Giang,3.313722047015767
squeezed_Thái Nguyên,3.40766930179466
squeezed_Bạc Liêu,3.63085145097849
squeezed_Tuyên Quang,3.750298387458075
squeezed_Tiền Giang,3.778407506676725
squeezed_Bình Phước,3.8774086948999567
squeezed_Cà Mau,3.9608944534676542
squeezed_Long An,4.079539784184489
squeezed_Trà Vinh,4.388351009329459
squeezed_Quảng Ninh,4.415296175538345
squeezed_Bắc Giang,4.471177774298173
squeezed_Sóc Trăng,4.558570788188386
squeezed_Nam Định,4.836320051539292
squeezed_Yên Bái,5.262331742733827
squeezed_Đắk Nông,5.681070424730874
squeezed_Hưng Yên,7.023346333659565
squeezed_BR Vũng Tàu,7.057918561425441
squeezed_An Giang,7.160970009213282
squeezed_Cần Thơ,7.438313117619102
squeezed_TT Huế,7.7341634013376845
squeezed_Ninh Bình,7.973449988738497
squeezed_Hải Dương,8.342877885208692
squeezed_Quảng Trị,8.600757272285493
squeezed_Nghệ An,8.741452842012356
squeezed_Khánh Hòa,9.387874003361127
squeezed_Lạng Sơn,9.417873872452837
squeezed_Vĩnh Phúc,9.96000007884588
squeezed_Bắc Kạn,10.273056038224412
squeezed_Quảng Bình,10.542999220402187
squeezed_Đồng Tháp,10.979559665387052
squeezed_Đắk Lắk,11.212850808650131
squeezed_Quảng Nam,11.513787275112838
squeezed_Ninh Thuận,11.695901762168461
squeezed_Hòa Bình,11.73722393788173
squeezed_Phú Yên,15.483329906265057
squeezed_Lâm Đồng,15.625053030146745
squeezed_Đà Nẵng,15.956375533238218
squeezed_Quảng Ngãi,16.11908857421122
squeezed_Gia Lai,16.704364417302678
squeezed_Bình Thuận,16.965274275568834
squeezed_Lai Châu,18.17088489864662
squeezed_Hà Giang,18.455041869869476
squeezed_Sơn La,19.108061377064246
squeezed_Lào Cai,19.994742331319326
squeezed_Cao Bằng,32.21139389835721
squeezed_Kon Tum,55.73041738116299
squeezed_Thái Bình,67.2582150090461
squeezed_Điện Biên,70.32713050401794
