model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,12.146935984891595,12.274525278202416,1.0503825283142796,0.5580383143078748,False
HistGB,MAE@2,14.263871392505765,14.255394866746329,-0.05942654365132232,0.13633232210313986,False
HistGB,MAE@3,16.244667435897778,16.064646062286638,-1.1081874979682598,0.20820893849395283,False
HistGB,MAE@4,17.043466760795454,16.847170839897544,-1.151737047708177,0.05275064047683738,False
HistGB,MAE@5,18.573051815200483,18.21364625900821,-1.9350915496726728,0.0020508208569909206,True
HistGB,MAE@6,19.376265492426825,18.906574984843918,-2.4240507427320543,0.0006337862726686089,True
XGBoost,MAE@1,13.497162060507575,13.394643931954546,-0.7595532163979525,0.0008663535299740776,True
XGBoost,MAE@2,15.25260160171212,14.574711735881818,-4.4444212438762465,0.00023269870041740202,True
XGBoost,MAE@3,17.177681108796286,16.27524415348485,-5.253543534751732,0.07677877566991992,False
XGBoost,MAE@4,18.394746463469698,18.30710813803788,-0.4764312767553512,0.42785139348510925,False
XGBoost,MAE@5,18.86240330962879,18.38006637627273,-2.557134027082531,0.16794160452908535,False
XGBoost,MAE@6,19.704496891928788,19.593964802681818,-0.5609485482080248,0.5994012772569768,False
LSTM,MAE@1,25.466791320786434,26.21029005093292,2.9194833411919774,0.0016660344401649345,True
LSTM,MAE@2,25.829628702436395,26.675799399429458,3.2759692628227657,0.0005965999404247587,True
LSTM,MAE@3,26.057561041295294,26.79229650544333,2.819663217841632,0.0013950263437558757,True
LSTM,MAE@4,26.28150954584426,26.94591395293755,2.5280298528299276,0.001525383265937508,True
LSTM,MAE@5,26.45016515232074,27.21900716234387,2.9067569355258773,0.00020234737995061315,True
LSTM,MAE@6,26.81331483319969,27.418169277301462,2.2557988367512607,0.0004375782309240848,True
LightGBM,MAE@1,12.930692440864341,13.225042694273201,2.2763688391399417,0.5870658559381543,False
LightGBM,MAE@2,15.270474563698476,14.609577699753807,-4.327939260746864,0.0031187115136999226,True
LightGBM,MAE@3,16.87183491774675,15.845178109275647,-6.085033509847864,6.051819177861645e-06,True
LightGBM,MAE@4,17.98682929253062,16.935760400281364,-5.843547382115489,8.747296115605826e-06,True
LightGBM,MAE@5,19.309080174932433,18.37207839501892,-4.852648450494048,0.0015378097315681702,True
LightGBM,MAE@6,20.331763988248145,19.12818354458452,-5.919704971783563,1.0483337053384535e-09,True
