model,wilcoxon_stat,p_value
Naive,239193.0,2.168340430339023e-45
Prophet,257886.0,8.255219409149078e-38
XGBoost,302546.0,6.024077865103743e-22
HistGB,338432.0,1.9435108171310992e-12
LightGBM,294447.0,1.719958753155225e-24
LSTM,232613.0,2.9784473220908785e-44
