relationship_rank,relationship,target,predictor,lag,province,n_samples,control_mode,spearman_corr,kendall_tau,distance_corr,mutual_info,abs_spearman
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Nghệ An,264,month,0.5624122478791177,0.42247559723112577,0.5637565650408579,0.4600130713409172,0.5624122478791177
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Ninh Bình,264,month,0.15061916429828437,0.12592823850236465,0.3274350952219431,0.39236246654758133,0.15061916429828437
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Ninh Thuận,264,month,0.6533148194080051,0.4775878567146893,0.686340466570836,0.556818551271447,0.6533148194080051
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Phú Thọ,264,month,0.6290551327465456,0.4774162727995342,0.5896675982582615,0.5320491883692626,0.6290551327465456
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Phú Yên,264,month,0.11396662946960531,0.0730941062647095,0.1960425833074715,0.10156615919440037,0.11396662946960531
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Quảng Bình,264,month,0.47832712765538826,0.3511626628307075,0.5548505620777845,0.31912373444596875,0.47832712765538826
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Quảng Nam,264,month,0.47543068751356987,0.3592343478069881,0.492065352206676,0.4005503085976545,0.47543068751356987
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Quảng Ngãi,264,month,0.6962830494019502,0.5440947641203223,0.6808378664242644,0.4497767271262165,0.6962830494019502
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Quảng Ninh,264,month,0.6518242810065242,0.5355188117431927,0.6842975512271497,0.6864525748732464,0.6518242810065242
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Quảng Trị,264,month,0.22765626146463983,0.1679270572859904,0.29424390037649245,0.12519928380265988,0.22765626146463983
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Sóc Trăng,264,month,0.5418738809775093,0.39711877840323373,0.6289746105840129,0.5632124702097125,0.5418738809775093
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Sơn La,264,month,0.4205201359383441,0.2997074875865726,0.4002905906495551,0.28890917789230164,0.4205201359383441
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_TT Huế,264,month,0.4607896175968107,0.3041687093458306,0.46532572448964077,0.16344569851675939,0.4607896175968107
