model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,4.656708301809338,4.656708301809338,0.0,1.0,False
HistGB,MAE@2,6.43990650561525,6.43990650561525,0.0,1.0,False
HistGB,MAE@3,7.990188061982473,7.990188061982473,0.0,1.0,False
HistGB,MAE@4,9.326252817853216,9.326252817853216,0.0,1.0,False
HistGB,MAE@5,9.089877207122942,9.089877207122942,0.0,1.0,False
HistGB,MAE@6,9.550948073934302,9.550948073934302,0.0,1.0,False
XGBoost,MAE@1,4.9850770416382275,4.9850770416382275,0.0,1.0,False
XGBoost,MAE@2,6.674958013675606,6.674958013675606,0.0,1.0,False
XGBoost,MAE@3,8.210140238684849,8.210140238684849,0.0,1.0,False
XGBoost,MAE@4,9.245310048215455,9.245310048215455,0.0,1.0,False
XGBoost,MAE@5,9.539581613992045,9.539581613992045,0.0,1.0,False
XGBoost,MAE@6,9.536537424125228,9.536537424125228,0.0,1.0,False
LSTM,MAE@1,8.821588039843254,8.314486232976563,-5.748418590579544,1.1191331366808223e-05,True
LSTM,MAE@2,8.76649350176377,8.322413128118953,-5.065655653032438,1.2377227979779954e-05,True
LSTM,MAE@3,8.534562811533991,8.188880440527472,-4.050381708355923,1.7650261567573277e-05,True
LSTM,MAE@4,8.354477543588203,7.96256523977518,-4.691045032658009,8.667638447743812e-06,True
LSTM,MAE@5,8.154475163502028,7.902481601069977,-3.0902486963223454,1.828567772449408e-05,True
LSTM,MAE@6,8.007551181348951,7.82198933456384,-2.317335756995455,0.0029932599028099304,True
LightGBM,MAE@1,4.756334999674009,4.756334999674009,0.0,1.0,False
LightGBM,MAE@2,6.522112442941963,6.522112442941963,0.0,1.0,False
LightGBM,MAE@3,8.169064842582687,8.169064842582687,0.0,1.0,False
LightGBM,MAE@4,9.073315891640956,9.073315891640956,0.0,1.0,False
LightGBM,MAE@5,9.195233521166893,9.195233521166893,0.0,1.0,False
LightGBM,MAE@6,9.283479194238723,9.283479194238723,0.0,1.0,False
