target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson
Influenza_rates,Total_Evaporation,0,14520,55,0.0,month_province,0.004602245133584641,0.006076275721344368,0.003885853408441782,0.05308006406115468,0.02862525775503233,,0.006076275721344368,0.004602245133584641
Influenza_rates,Total_Evaporation,1,14465,55,0.0037878787878787845,month_province,-0.01323335285187206,-0.018177671402138638,-0.012165273936913858,0.050976873438425524,0.0,,0.018177671402138638,0.01323335285187206
Influenza_rates,Total_Evaporation,2,14410,55,0.007575757575757569,month_province,-0.011559832703767405,-0.00768933410204097,-0.005139910099802137,0.07348745889018915,0.0,,0.00768933410204097,0.011559832703767405
Influenza_rates,Total_Evaporation,3,14355,55,0.011363636363636354,month_province,0.008661688731433723,0.017743567435108215,0.011843808784350257,0.05574149438731838,0.0,,0.017743567435108215,0.008661688731433723
Influenza_rates,Total_Evaporation,4,14300,55,0.015151515151515138,month_province,0.026296703056742986,0.03999578654472254,0.026725082376752276,0.06755098880334476,0.014635176463376531,,0.03999578654472254,0.026296703056742986
Influenza_rates,Total_Evaporation,5,14245,55,0.018939393939393923,month_province,0.042171571499947505,0.06122927781971992,0.040979113142206564,0.09677476987399865,0.017909465943025893,,0.06122927781971992,0.042171571499947505
Influenza_rates,Total_Evaporation,6,14190,55,0.022727272727272707,month_province,0.05556654526990079,0.07579731667450537,0.05084557548896513,0.0853461163826012,0.0,,0.07579731667450537,0.05556654526990079
Influenza_rates,Total_Rainfall,0,14520,55,0.0,month_province,0.014340216506913007,0.01818469462626268,0.012322603469399417,0.0820721704210673,0.02026323828714105,,0.01818469462626268,0.014340216506913007
Influenza_rates,Total_Rainfall,1,14465,55,0.0037878787878787845,month_province,0.025958773655725555,0.04337957330788691,0.028995707156900228,0.05026211762519888,0.0,,0.04337957330788691,0.025958773655725555
Influenza_rates,Total_Rainfall,2,14410,55,0.007575757575757569,month_province,0.03343457276684932,0.051437813532506045,0.03463565033865462,0.0998357474387213,0.012782561544795179,,0.051437813532506045,0.03343457276684932
Influenza_rates,Total_Rainfall,3,14355,55,0.011363636363636354,month_province,0.031805276425969656,0.04377870609959838,0.029438108863043936,0.07933704478475162,0.006299912031961341,,0.04377870609959838,0.031805276425969656
Influenza_rates,Total_Rainfall,4,14300,55,0.015151515151515138,month_province,0.016568656589480955,0.027574515810200234,0.018551053068685763,0.05836994644692001,0.020950511506936387,,0.027574515810200234,0.016568656589480955
Influenza_rates,Total_Rainfall,5,14245,55,0.018939393939393923,month_province,0.008873393109585874,0.005215232358269236,0.003497310632641348,0.06430958732844548,0.01655825111160958,,0.005215232358269236,0.008873393109585874
Influenza_rates,Total_Rainfall,6,14190,55,0.022727272727272707,month_province,-0.0012363315112263883,-0.009228665225218069,-0.006201141556320017,0.05271204265552872,0.02217460453079223,,0.009228665225218069,0.0012363315112263883
Influenza_rates,Max_Daily_Rainfall,0,14520,55,0.0,month_province,0.012686610142775431,0.012789290870197829,0.008614717021139341,0.054065271797643075,0.00722949678680429,,0.012789290870197829,0.012686610142775431
Influenza_rates,Max_Daily_Rainfall,1,14465,55,0.0037878787878787845,month_province,0.00584980705501169,0.027642094588827902,0.0184180929813551,0.07305448075227956,0.030915791296527217,,0.027642094588827902,0.00584980705501169
Influenza_rates,Max_Daily_Rainfall,2,14410,55,0.007575757575757569,month_province,0.005556308252332179,0.026771169300326712,0.01791952367266152,0.05255462577535381,0.01572357063724983,,0.026771169300326712,0.005556308252332179
Influenza_rates,Max_Daily_Rainfall,3,14355,55,0.011363636363636354,month_province,0.01662546585100683,0.021386677072106487,0.014242473771070085,0.07195348299953393,0.0,,0.021386677072106487,0.01662546585100683
Influenza_rates,Max_Daily_Rainfall,4,14300,55,0.015151515151515138,month_province,0.01011580495329939,0.009525691216742616,0.006274321349850545,0.0518850684662944,0.020713403122493368,,0.009525691216742616,0.01011580495329939
Influenza_rates,Max_Daily_Rainfall,5,14245,55,0.018939393939393923,month_province,-0.0021182272687880416,-0.009155983109542024,-0.006158698456416854,0.04862375573114118,0.027481171208807886,,0.009155983109542024,0.0021182272687880416
Influenza_rates,Max_Daily_Rainfall,6,14190,55,0.022727272727272707,month_province,-0.007489984323664503,-0.013514580727980655,-0.009197800978660431,0.04852316747402176,0.012573304492669912,,0.013514580727980655,0.007489984323664503
Influenza_rates,n_raining_days,0,14520,55,0.0,month_province,0.029713914814786527,0.0557332180767772,0.037631302487746564,0.06537801348292094,0.031732966224659265,,0.0557332180767772,0.029713914814786527
Influenza_rates,n_raining_days,1,14465,55,0.0037878787878787845,month_province,0.052739227565998074,0.08592905692423766,0.05756194073494072,0.11188365251615615,0.05289761347415567,,0.08592905692423766,0.052739227565998074
Influenza_rates,n_raining_days,2,14410,55,0.007575757575757569,month_province,0.06575195456374601,0.1039036456653547,0.06943583323432094,0.12713354394070175,0.0386051949544326,,0.1039036456653547,0.06575195456374601
Influenza_rates,n_raining_days,3,14355,55,0.011363636363636354,month_province,0.06196986139943035,0.09763759828705579,0.06498977342343498,0.12791231322016608,0.022497938326389466,,0.09763759828705579,0.06196986139943035
Influenza_rates,n_raining_days,4,14300,55,0.015151515151515138,month_province,0.05249229273359672,0.08671691451333409,0.05768872838952548,0.08973586789069564,0.024675787588063436,,0.08671691451333409,0.05249229273359672
Influenza_rates,n_raining_days,5,14245,55,0.018939393939393923,month_province,0.041947677878436944,0.07589370275416409,0.05015753658127202,0.08986919161374494,0.04619358876624613,,0.07589370275416409,0.041947677878436944
Influenza_rates,n_raining_days,6,14190,55,0.022727272727272707,month_province,0.03178469133131338,0.06465266917370893,0.042596520414683696,0.0962235042151474,0.043968812503091925,,0.06465266917370893,0.03178469133131338
Influenza_rates,Average_temperature,0,14520,55,0.0,month_province,-0.019361557872761927,-0.023144458019617085,-0.015746491799575178,0.06246737858861602,0.014053312710711197,,0.023144458019617085,0.019361557872761927
Influenza_rates,Average_temperature,1,14465,55,0.0037878787878787845,month_province,-0.021357288122842245,-0.02476112893296508,-0.0165264918929555,0.04873970650039622,0.005900374274209419,,0.02476112893296508,0.021357288122842245
Influenza_rates,Average_temperature,2,14410,55,0.007575757575757569,month_province,-0.024804355094760085,-0.03252892416132043,-0.02166973471909449,0.05088256988486842,0.01729466007841829,,0.03252892416132043,0.024804355094760085
Influenza_rates,Average_temperature,3,14355,55,0.011363636363636354,month_province,-0.033130330345491,-0.04896572560583736,-0.03253771523848176,0.06891729569142602,0.009676773926172721,,0.04896572560583736,0.033130330345491
Influenza_rates,Average_temperature,4,14300,55,0.015151515151515138,month_province,-0.041718465459216814,-0.06892014413413801,-0.04554653362521718,0.08390757704377776,0.005320279168556041,,0.06892014413413801,0.041718465459216814
Influenza_rates,Average_temperature,5,14245,55,0.018939393939393923,month_province,-0.05776109729659275,-0.08137643480498447,-0.05353634338573112,0.09185076289390638,0.030257652358653075,,0.08137643480498447,0.05776109729659275
Influenza_rates,Average_temperature,6,14190,55,0.022727272727272707,month_province,-0.05760944976050225,-0.08131605153669913,-0.05378755171917979,0.07778722117882839,0.0,,0.08131605153669913,0.05760944976050225
Influenza_rates,Average_Humidity,0,14520,55,0.0,month_province,0.05415896426142181,0.08694555294963832,0.0578745734593781,0.059265834791411946,0.02803950273289857,,0.08694555294963832,0.05415896426142181
Influenza_rates,Average_Humidity,1,14465,55,0.0037878787878787845,month_province,0.0734464641703457,0.11340148841165361,0.075635533364947,0.10783559705716517,0.02233790939334046,,0.11340148841165361,0.0734464641703457
Influenza_rates,Average_Humidity,2,14410,55,0.007575757575757569,month_province,0.07306808632470038,0.10326357049320545,0.06902290672911321,0.12351857279940029,0.016618629474333346,,0.10326357049320545,0.07306808632470038
Influenza_rates,Average_Humidity,3,14355,55,0.011363636363636354,month_province,0.0562365996768852,0.07642973706608147,0.05109695651905444,0.09700147139664711,0.02295099542931034,,0.07642973706608147,0.0562365996768852
Influenza_rates,Average_Humidity,4,14300,55,0.015151515151515138,month_province,0.027471319079156904,0.04723666421171255,0.031569484172489094,0.04704587071602936,0.020285283379624985,,0.04723666421171255,0.027471319079156904
Influenza_rates,Average_Humidity,5,14245,55,0.018939393939393923,month_province,0.015430658322387346,0.025304530878612345,0.016898232504236416,0.05215977974057248,0.0010575678239153063,,0.025304530878612345,0.015430658322387346
Influenza_rates,Average_Humidity,6,14190,55,0.022727272727272707,month_province,0.0053362484081836085,0.014760779601134661,0.009876682659468563,0.07718325374147973,0.014509002432338214,,0.014760779601134661,0.0053362484081836085
