model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,27.71901533078341,48.458030547534754,53.57668689488702,29.70134837855705,50.4889808669291,57.60505973903032,31.23914053259154,52.4109433199038,60.13329364221375,32.18456593300475,54.78616162087361,60.47669671013839,33.735317485625366,56.75791127999496,62.18370548804168,34.96926693541595,57.868707874108125,65.47663761323254,263.3830795288086,0.5974025974025974,0.7931034482758621
Naive,30.238493670468884,54.8572652259726,44.75978096151365,33.4246623632114,59.17822094016201,48.841303505418274,32.940522463006815,59.10674650730425,51.03836253176579,36.6274802439655,63.05237977179935,55.269846786549316,36.268119506722456,62.06033642558866,57.221066086125205,36.62806548441742,62.890737457690584,58.13676503939777,263.3830795288086,0.5079365079365079,0.5517241379310345
XGBoost,30.34170913696289,53.580537730014434,56.30000829696655,31.02745246887207,53.405781430799934,57.75641202926636,31.58255958557129,54.17427705952222,58.78722071647644,33.22660827636719,56.890912523305296,61.66973114013672,34.07006072998047,58.01413107422083,63.910794258117676,36.27047348022461,61.93238342892594,66.2053108215332,263.3830795288086,0.5263157894736842,0.8620689655172413
SeasonalNaive,35.738549282335455,60.920539856111816,52.21240208233846,39.071854167000055,65.70148366724769,55.43005777169709,41.08343289982379,69.89036353528141,58.08205152135425,43.56422485614819,72.28633452827778,61.563834860152824,45.85667491186203,74.65739659487562,64.32175816083553,46.37329580066945,75.7451754180394,65.95879643890795,263.3830795288086,0.4639175257731959,0.7758620689655172
LSTM,38.72829055786133,55.45770576670342,70.46599388122559,39.59291076660156,57.07045955234306,71.90755605697632,40.262996673583984,58.41483726666218,73.50755333900452,40.62639236450195,59.20381779087921,74.91833567619324,41.22239685058594,60.24404510574572,76.08621120452881,42.05331039428711,61.277837663154166,77.98691391944885,263.6337158203125,0.0,0.0
Prophet,50.30678267114739,80.5277534173745,85.96831338863286,52.38715870271984,81.83916688083806,88.6151130029396,55.24476436409719,85.60487975203922,91.47687643970204,56.943711035986134,89.6369057257728,92.77337526876153,57.946322391822946,92.17257077197783,94.57233101620446,58.68771620965629,92.59690354494687,95.43785940438354,263.3830795288086,0.46226415094339623,0.8448275862068966
