model,wilcoxon_stat,p_value
Naive,265042.5,4.5558611154394904e-27
Prophet,224074.0,8.371506892207984e-53
XGBoost,314660.0,2.048243904273772e-18
HistGB,342304.0,1.3899021237111943e-11
LightGBM,327558.0,5.138156464409095e-15
LSTM,285157.0,8.351005779090938e-24
