province,MAE
squeezed_Cần Thơ,0.06108984351158142
squeezed_Trà Vinh,0.20137970640339367
squeezed_Tiền Giang,0.22982693214671937
squeezed_Cà Mau,0.9692408101365396
squeezed_Tây Ninh,1.57729282969382
squeezed_Sóc Trăng,2.4354366281192728
squeezed_Hải Phòng,2.6483406618710927
squeezed_Kiên Giang,2.77267664475568
squeezed_Đắk Nông,2.901523474485056
squeezed_Hà Nội,3.6287656708887552
squeezed_BR Vũng Tàu,3.655600789430982
squeezed_Bình Phước,4.371404888668088
squeezed_Bình Định,4.689544440441719
squeezed_Bạc Liêu,5.125239223155325
squeezed_An Giang,5.311703166826951
squeezed_Thái Nguyên,8.739067836472179
squeezed_Bắc Giang,9.713809654688829
squeezed_Nam Định,10.465575186950755
squeezed_Hưng Yên,10.495207838862816
squeezed_Phú Thọ,11.655190033285601
squeezed_Thanh Hóa,12.349043623201062
squeezed_Đắk Lắk,14.841841181347428
squeezed_Quảng Ngãi,14.891860064921246
squeezed_Đà Nẵng,15.218654934756303
squeezed_Ninh Bình,18.947704550816706
squeezed_Quảng Ninh,19.005526046515723
squeezed_Phú Yên,19.265385493639748
squeezed_Long An,20.046051120485387
squeezed_TT Huế,22.43096953993707
squeezed_Tuyên Quang,22.676093199990195
squeezed_Lâm Đồng,22.821396196642468
squeezed_Hải Dương,26.13897362659218
squeezed_Yên Bái,26.19781869660082
squeezed_Bình Thuận,26.555112729645316
squeezed_Quảng Nam,27.265092336400837
squeezed_Lạng Sơn,28.689604188375387
squeezed_Nghệ An,29.13677609716329
squeezed_Khánh Hòa,30.226424344521302
squeezed_Quảng Bình,30.847012453260103
squeezed_Gia Lai,30.925058001197694
squeezed_Vĩnh Phúc,31.337196972711457
squeezed_Hòa Bình,32.46268891759049
squeezed_Hà Tĩnh,35.792589025283114
squeezed_Hà Giang,35.925107177427506
squeezed_Quảng Trị,36.25240990667643
squeezed_Ninh Thuận,37.15976364391518
squeezed_Đồng Tháp,39.75805670387528
squeezed_Sơn La,40.008289817607924
squeezed_Kon Tum,40.1684001744367
squeezed_Thái Bình,49.49291583987195
squeezed_Lào Cai,53.81632211664083
squeezed_Lai Châu,77.49192121462977
squeezed_Bắc Kạn,78.59088905520547
squeezed_Điện Biên,85.90310550123145
squeezed_Cao Bằng,97.95106587487426
