fold_year,model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
2014,Naive,12.948001547086967,40.89040174297191,18.597188203451793,15.520691263275252,43.61602519553406,21.691542369514817,16.209125444841284,40.777496813042845,23.657210741911985,16.22607409633372,42.1535495864154,23.78866864859473,14.96915272127615,40.28669289209609,22.995380505307395,13.86206019628843,31.741893002174486,22.92907598000096,184.08893,0.8333333333333334,0.8620689655172413
2014,SeasonalNaive,17.154682713641815,33.97122481000541,27.253982149444866,18.99610189991852,35.9467481832791,30.090972614315692,20.731810868373298,37.993937080196666,32.57010268406519,21.914034801914752,39.45931971735763,34.752708047193664,21.660137065781417,38.458912220458984,35.24017459932316,21.91422701080621,40.2663183401751,35.48494974969799,184.08893,0.6666666666666666,0.9655172413793104
2014,XGBoost,12.122779846191406,30.203189666252552,20.230817794799805,13.954304695129395,30.926224073579025,24.14447593688965,13.678877830505371,29.422438216529045,23.755258560180664,13.857209205627441,29.74478950070762,25.04173469543457,13.512490272521973,29.063464995739817,24.79743003845215,11.66417121887207,16.762608579416234,23.200599670410156,184.08893,0.8125,0.896551724137931
2014,HistGB,13.47520995666749,31.47931083203643,24.66512425492008,14.628963449129978,30.11068677742398,26.642808320908728,15.086759427556034,30.525387537329404,27.449334314913624,15.900041037806751,31.69969458403706,29.14817531831083,16.151138042868872,31.830188684870823,29.140661113213127,16.25283392933572,23.995281313426396,31.196892313674923,184.08893,0.8666666666666667,0.896551724137931
2014,LightGBM,11.364026697475081,30.03533565691937,20.128827507105196,12.887374484578443,29.47746902560717,23.390225819469844,13.586193578908395,29.707377933957847,23.97134728504441,13.624825106661158,29.865910781743544,24.64778179551141,15.685932583316015,31.677083447934177,27.61080680247539,14.342089748441838,21.448832265731795,27.863896534459215,184.08893,0.9,0.9310344827586207
2014,LSTM,30.288476943969727,53.999014386259866,45.11675262451172,30.438678741455078,54.02087902925822,45.353240966796875,30.271808624267578,53.93132795292199,45.286556243896484,29.968856811523438,53.76845386338885,45.353759765625,30.512969970703125,54.341995640888776,46.46157455444336,29.178543090820312,46.308730658011456,46.16850662231445,188.73378,0.0,0.0
2015,Naive,8.78004666671218,14.810932415943117,16.421216306039977,11.119143961538079,17.71534460460225,20.46497017633974,11.988453314112787,19.823719775513396,22.063282711660033,12.295630320450352,20.46754551239802,22.837096104386966,12.033845680399924,20.207473877357902,22.102119893381833,11.020405895391633,18.337416119229744,21.00492769535017,196.92636,0.8461538461538461,0.7586206896551724
2015,SeasonalNaive,12.919591653759335,31.633655545965336,21.255216797723524,13.835687908898446,32.36996739765035,23.114480467942144,15.774247682777911,35.336861249892586,25.81080792309215,17.57836926670575,37.03287556594216,28.49893734337211,17.522520823284367,37.0036505872107,29.18541721515311,17.251755174627576,35.5304852108088,29.888128647795796,196.92636,0.8214285714285714,0.7931034482758621
2015,XGBoost,8.800840377807617,14.247274573183176,18.3157958984375,9.433157920837402,14.315243920244383,20.044652938842773,10.187296867370605,16.171994828964262,21.50339126586914,11.388492584228516,17.527929198908613,24.080432891845703,11.524920463562012,18.122024607612314,24.61100959777832,11.18635368347168,17.67629876659527,24.483871459960938,196.92636,0.9615384615384616,0.8620689655172413
2015,HistGB,9.953445735145753,14.870539614667601,21.246575953931877,10.655454697155328,15.776027142789314,22.9849275257178,12.035340122434418,17.652617733147434,25.267322292844252,12.32508371058249,18.310251453781596,26.829994927433543,12.37886974954561,18.03279974969549,28.23417904019689,12.699789211829827,19.49038304632041,27.757751417612415,196.92636,0.9615384615384616,0.8620689655172413
2015,LightGBM,8.632847044241691,13.627516208158614,17.595622121563615,9.189484759898297,14.315236281729499,19.259919675567446,9.858872918452837,15.329797546818995,20.337277107708466,10.15825687688936,15.152463754823549,22.793933226731568,11.470723313168921,17.527934896689324,25.256804913491376,11.370153983612587,17.7180375495205,25.118995093080137,196.92636,0.8620689655172413,0.8620689655172413
2015,LSTM,31.62891960144043,43.47713737827475,50.695316314697266,31.722515106201172,43.72717736190003,51.41679763793945,32.14585876464844,44.44938884782683,52.29281234741211,32.356170654296875,44.71655796951086,52.806156158447266,32.558006286621094,45.26853200882899,53.307987213134766,32.99885559082031,46.1567868748397,54.079593658447266,197.58316,0.0,0.0
2016,Naive,11.187598181469204,21.68320156883526,27.834567991785196,13.939307662592137,26.590877872034476,33.542036921001156,15.477207472045519,30.18082922195031,38.237238479355874,16.017540781137726,30.502891046129548,40.28199528246314,17.174036776563007,31.490709230355456,43.95943916061682,18.19204582083252,34.92774902556002,45.89473983643144,168.73402,0.8125,0.896551724137931
2016,SeasonalNaive,15.289138863534882,26.54302345552241,34.23554767305666,17.696194538692257,30.89397046242907,39.99584750390227,19.277393962866498,34.38879285872877,43.20359808468783,20.070654126519027,33.740327984788195,45.62759640748223,20.72017079652923,34.6473217128274,48.21480983622253,21.007590353490613,36.2215373000472,50.12074381754399,168.73402,0.6756756756756757,0.8620689655172413
2016,XGBoost,11.076570510864258,20.485785045148152,27.812564849853516,12.330442428588867,21.542419459792363,33.70779037475586,14.237584114074707,24.201793459176223,40.19728469848633,14.810845375061035,25.891466586352106,40.53278350830078,15.91834545135498,27.896417028138444,43.843475341796875,17.294132232666016,29.603208873126196,47.884368896484375,168.73402,0.7878787878787878,0.896551724137931
2016,HistGB,10.490508031320884,20.047628512535713,26.566351626829032,11.850547514521399,20.954611373119878,33.9531360886458,13.95937857706378,23.5608998744956,38.86427896031924,14.856682528294208,26.626026767500953,40.46677991489955,16.31926238004069,28.76942748085292,44.433349723051606,17.908076298736244,30.311946368517095,48.71191744720284,168.73402,0.8125,0.896551724137931
2016,LightGBM,10.93662236791978,19.49771303076601,27.985716409702494,12.652753376466356,21.381552532365394,35.97240027982305,14.222997421187662,23.925788979901483,39.7341191813449,15.229305223061061,27.11572661371744,41.28283556074379,17.74940197121343,28.958643609559427,47.198354485145686,18.56199885198295,30.42194235652969,50.149231245770665,168.73402,0.8333333333333334,0.8620689655172413
2016,LSTM,28.246646881103516,40.8715550082091,57.54607391357422,28.949878692626953,42.12216874294788,60.136383056640625,29.374277114868164,41.98873459641065,62.812583923339844,29.692642211914062,42.25453297151236,64.75315856933594,29.76555061340332,42.079018510751,66.66585540771484,30.172719955444336,42.42401439126562,68.84210968017578,172.3456,0.6896551724137931,0.7142857142857143
2017,Naive,16.043704786345685,34.30975995262412,49.67144182603404,19.9957567868731,43.42190399853283,54.85722334592236,19.984032238837173,41.0575592820181,56.83552635996326,19.435249699953584,40.089004893531985,56.911358252144794,19.65077569071611,42.61110584013991,57.04744097713612,20.837158188626788,43.83085587357874,59.8130357200129,139.03687,0.75,0.8275862068965517
2017,SeasonalNaive,19.735081645496766,36.51076841412151,59.536606216258036,20.754962929214116,39.51545659492143,56.864654225906776,22.344458765843157,43.62849853148813,58.67522231934736,23.39248312723103,48.5142677100397,59.46734040963244,23.873391634713162,50.775117964898044,58.859273322605276,24.43535249765508,51.19547054327375,60.13952695407626,139.03687,0.6136363636363636,0.9310344827586207
2017,XGBoost,15.33297061920166,32.63064000279779,51.474952697753906,17.021644592285156,33.9340917516266,55.12356185913086,18.783002853393555,39.4764442223144,56.746280670166016,19.855426788330078,43.18168828479266,58.227508544921875,19.29751205444336,38.34502977693133,59.149658203125,20.746463775634766,42.73538332905474,61.045509338378906,139.03687,0.8214285714285714,0.7931034482758621
2017,HistGB,15.454158502553238,33.650353004916624,51.26528289219275,17.72242406226494,36.09837373489116,55.02584310018261,18.450849590778834,37.54331378116191,58.02862395451357,20.051411061533656,39.417483977551264,58.927183714740615,19.624891447945295,37.25054358234291,60.07249453458221,20.762668608850575,38.762240524387195,61.69825795206505,139.03687,0.7241379310344828,0.7241379310344828
2017,LightGBM,14.639140302507785,31.95433189631837,50.91957832793504,17.108926233388406,34.892751617374785,55.06493785717144,18.662132960525852,37.84205751539228,56.972940315190876,19.79939366019354,39.53908025482709,60.19197787499999,20.18447453306125,37.802494181664834,62.223451996639,20.88783539696579,38.42089661186606,62.36102659889935,139.03687,0.75,0.7241379310344828
2017,LSTM,29.59805679321289,42.48778690556632,75.24601745605469,29.831409454345703,43.159546568064606,75.70040130615234,29.822925567626953,43.408593967939545,76.00420379638672,29.85721778869629,43.18173634206509,77.23099517822266,29.639766693115234,42.663290684970754,77.40343475341797,29.956554412841797,42.51799366334505,79.26473999023438,144.07295,0.6774193548387096,0.75
2018,Naive,12.615391127183107,35.364317590693176,34.42484339145129,13.695801710541408,34.32965093876518,43.28803147734823,16.127834593376203,40.91542366087859,47.15271154553936,18.19791676503237,45.1826568115579,51.15100839289468,19.64235416559324,48.0530365811093,55.040032566155325,21.46799470833014,51.09618741664572,58.21657011169794,93.87609,0.4666666666666667,0.4666666666666667
2018,SeasonalNaive,22.80934511147958,49.341680689579555,57.98413890456949,21.181867986757275,41.58380358680092,67.72049511394775,21.84568372673919,42.95378634849164,70.58981809443942,21.537267170784958,43.007642043278565,67.04738485375998,23.455908389904167,44.48904468890758,75.78356456112503,25.339435328654783,49.3740830286647,78.58643760919706,93.87609,0.3333333333333333,0.5333333333333333
2018,XGBoost,13.442543983459473,28.411887504396816,52.92294692993164,14.435124397277832,25.93829770987174,56.66108703613281,15.50306224822998,28.13328437017486,60.2069206237793,17.04351043701172,30.10166489568621,63.18278884887695,17.77287483215332,30.302642163189542,68.13842010498047,18.184247970581055,29.93666613856973,69.7352523803711,93.87609,0.5714285714285714,0.8
2018,HistGB,13.14579685432959,26.921868899987768,53.64098668087433,13.624225214334817,23.89011825641184,56.996525192055,14.406098551306115,26.698320707664834,59.45757153495674,15.38201161459548,27.00692018057916,63.718861885836816,18.26387647170759,30.76031794044228,69.26077578702494,16.614299579757592,27.6187691821278,70.61701657139552,93.87609,0.6470588235294118,0.7333333333333333
2018,LightGBM,12.80678874898753,27.379215666173778,53.558279349692995,13.50909121573411,23.45615390029752,57.07653671810671,14.329095598610373,26.419028680449014,59.13461480465089,16.13386625128338,27.1966747620824,63.465390243877906,18.64619893477587,30.722612984243163,68.42927575452502,17.296717235219806,28.199841657054648,71.45161075036324,93.87609,0.6,0.8
2018,LSTM,25.985414505004883,36.398196869509384,79.33438110351562,25.372737884521484,35.131034359883465,80.43460083007812,25.45414161682129,35.27589017635664,81.78436279296875,26.424848556518555,36.21001296689218,85.21086883544922,27.178850173950195,36.82737092195745,89.57115936279297,27.424997329711914,36.959645302131555,91.97744750976562,98.619255,0.625,0.35714285714285715
