model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
HistGB,12.503823816003392,25.393940172828827,35.47686428174961,13.696322987481292,25.365963456927233,39.120648045501994,14.787685253827837,27.19610792675984,41.81342621150949,15.703045990562519,28.61207539269001,43.81819915224427,16.547607618421612,29.328655487640884,46.228292039613756,16.84753352570199,28.03572408695578,47.99636714039015,156.53246,0.8023803765538047,0.822528735632184
LSTM,29.14950294494629,43.44673810956388,61.5877082824707,29.26304397583008,43.63216121241084,62.60828475952148,29.413802337646484,43.81078710829113,63.636103820800784,29.659947204589844,44.02625882267387,65.07098770141602,29.931028747558592,44.236041553479396,66.68200225830078,29.946334075927734,42.873434177918675,68.0664794921875,160.27095,0.3984149054505005,0.36428571428571427
LightGBM,11.675885032226374,24.498822491667227,34.03760474319987,13.069526014013121,24.704632671474876,38.1528040700277,14.131858495537022,26.64481013130392,40.030059738787905,14.989129423617701,27.773971233438807,42.47638374037293,16.747346267107098,29.337753824018183,46.143738790455295,16.491759043244592,27.241910088140536,47.38895204451452,156.53246,0.7890804597701149,0.8358620689655172
Naive,12.314948461759428,29.41172265421352,29.389851543752457,14.854140276963994,33.13476052189376,34.76876085802526,15.957330612642593,34.551005750680645,37.58919396768611,16.43448233258155,35.679129570006566,38.99402533609687,16.694033006909685,36.52980368421173,40.2288826205195,17.075932961893905,35.98682028743774,41.571669868698685,156.53246,0.7417307692307692,0.7622988505747126
SeasonalNaive,17.581567997582475,35.60007058303884,40.05309834821052,18.492963052696123,36.06198924501617,43.55728998520293,19.99471900132001,38.86037521375955,46.16990982112639,20.898561698631106,40.35088660428125,47.078793412288086,21.44642574204247,41.07480943486054,49.45664790688582,21.989672073046854,42.51757888459391,50.84395735566222,156.53246,0.6221481221481222,0.8170114942528736
XGBoost,12.155141067504882,25.195755358355697,34.15141563415527,13.43493480682373,25.331255383022825,37.93631362915039,14.477964782714844,27.48119101943176,40.48182716369629,15.391096878051759,29.289507693289444,42.213049697875974,15.605228614807128,28.74591571432229,44.10799865722656,15.815073776245118,27.342833137352432,45.269920349121094,156.53246,0.7909548784548784,0.8496551724137931
