model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,outbreak_threshold,precision,recall
HistGB,6.899264217491845,15.168448110808113,106.7421667105246,8.06937999594191,17.54935900323928,113.37862793026964,8.537450087209907,18.50890291539859,115.42972631636827,35.96744918823243,0.5555555555555556,0.6896551724137931
XGBoost,6.924106121063232,14.39090969537199,110.1807713508606,8.027457237243652,16.980272402965337,114.72721099853516,8.665454864501953,18.46518379803766,119.50575113296507,35.96744918823243,0.524390243902439,0.7413793103448276
LSTM,7.710697174072266,19.205542018862197,121.12818956375122,7.629938125610352,19.249522810136583,121.25738859176636,7.711811065673828,19.2676239585428,118.76870393753052,36.07353057861328,0.0,0.0
Naive,7.811671986812349,19.283213110208926,75.12065224695701,11.548905866550928,26.693685618609983,95.96102331561652,12.704378683023974,28.752422519939643,103.38160593679736,35.96744918823243,0.453125,0.5
Prophet,9.006184843772315,20.2045571964979,147.44505813601302,9.164245019803804,20.45404875274801,148.31382602882908,9.604772427162452,21.118839725209074,151.062102366079,35.96744918823243,0.5,0.1206896551724138
SeasonalNaive,9.804913161644292,25.215379090288955,91.97537281834175,11.099034258864329,27.145627245529017,102.19683220042012,11.4213171155582,27.904388261333647,107.83779189755948,35.96744918823243,0.2542372881355932,0.2586206896551724
