target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson,abs_spearman_scaled,distance_corr_scaled,mutual_info_scaled,composite_score
Diarrhoea_rates,Influenza_rates,0,14520,55,0.0,month_province,0.5297757126083209,0.5379613946125229,0.3947384414338195,0.5131264345543367,0.3474754314864254,,0.5379613946125229,0.5297757126083209,1.0,0.9902815609666152,1.0,0.9961126243866462
Influenza_rates,Diarrhoea_rates,0,14520,55,0.0,month_province,0.5297757126083209,0.5379613946125229,0.3947384414338195,0.5177552462647965,0.297097166872768,,0.5379613946125229,0.5297757126083209,1.0,1.0,0.855016326195639,0.9637540815489096
Influenza_rates,Diarrhoea_rates,1,14465,55,0.0037878787878787,month_province,0.3503676266537427,0.4669546857888104,0.3387791726344616,0.4709158435080251,0.255950626799069,,0.4669546857888104,0.3503676266537427,0.8678838472250995,0.9016581558020188,0.7366006445525286,0.8485727699877246
Influenza_rates,Diarrhoea_rates,2,14410,55,0.0075757575757575,month_province,0.3492273232218483,0.458233378215951,0.3316500560413708,0.4545290604326271,0.2533272896406071,,0.458233378215951,0.3492273232218483,0.851656850892212,0.8672532237734195,0.7290509391036001,0.827243922097542
Influenza_rates,Diarrhoea_rates,5,14245,55,0.0189393939393939,month_province,0.3223283808164975,0.4475440301916892,0.3217839644488825,0.4351924134211913,0.2571072995759653,,0.4475440301916892,0.3223283808164975,0.8317680888296921,0.8266548938249217,0.7399294346541723,0.8067631472839041
Influenza_rates,Diarrhoea_rates,4,14300,55,0.0151515151515151,month_province,0.3361171747982005,0.4535231357643864,0.327361717499606,0.4271371230703631,0.2605519246453038,,0.4535231357643864,0.3361171747982005,0.8428929027858055,0.8097423786768475,0.7498427256589583,0.8063701488605105
Diarrhoea_rates,Influenza_rates,1,14465,55,0.0037878787878787,month_province,0.3214212668527801,0.446395603244884,0.3221177293298768,0.4428778588844095,0.2468384313055871,,0.446395603244884,0.3214212668527801,0.8296313083413636,0.8427908997484094,0.7103766451908994,0.8050814791165658
Diarrhoea_rates,population_urban,0,14520,55,0.0,month_province,-0.1552626725334881,-0.4254864304476238,-0.2949294453136635,0.4151100527650666,0.2914851328062893,,0.4254864304476238,0.1552626725334881,0.7907273862551013,0.7844908979894544,0.8388654459953567,0.8002673058839064
Influenza_rates,Diarrhoea_rates,3,14355,55,0.0113636363636363,month_province,0.3500911539444782,0.4633629521546265,0.3355049211428034,0.4497839464282215,0.2127190832554593,,0.4633629521546265,0.3500911539444782,0.8612010134844357,0.8572906018214252,0.612184528688813,0.7973827276203258
Diarrhoea_rates,population_urban,5,14245,55,0.0189393939393939,month_province,-0.1549640820234206,-0.4312323188625854,-0.2993712701271102,0.3780928812514085,0.2987970965956448,,0.4312323188625854,0.1549640820234206,0.8014182728520745,0.7067713563345421,0.8599085561746188,0.7781820770756976
