model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,12.146935984891595,12.254132606306008,0.88249927016776,3.740733468963679e-05,True
HistGB,MAE@2,14.263871392505765,14.279758024242236,0.11137671743744151,0.6525003750826393,False
HistGB,MAE@3,16.244667435897778,16.14760852474713,-0.5974816753475937,0.9741420908682914,False
HistGB,MAE@4,17.043466760795454,16.85351343332314,-1.1145228264783367,0.30938114162120556,False
HistGB,MAE@5,18.573051815200483,18.240868520373844,-1.7885229532110292,0.16168632463224364,False
HistGB,MAE@6,19.376265492426825,20.010141734054727,3.2714056373538636,2.757713146302362e-21,True
XGBoost,MAE@1,13.497162060507575,13.378816062598487,-0.8768213449504797,0.604277452931911,False
XGBoost,MAE@2,15.25260160171212,14.012652235856061,-8.12942865902217,0.0033580805822568853,True
XGBoost,MAE@3,17.177681108796286,15.60271491171212,-9.168677582899491,5.342909621544461e-05,True
XGBoost,MAE@4,18.394746463469698,16.410407035893936,-10.787533448838126,4.033393768805935e-07,True
XGBoost,MAE@5,18.86240330962879,16.848017458772727,-10.67937005581769,3.793585408316342e-09,True
XGBoost,MAE@6,19.704496891928788,18.46658188968182,-6.282398424260371,0.00036676013669042395,True
LSTM,MAE@1,25.466791320786434,23.515402124178873,-7.662485517030186,1.90099415543979e-08,True
LSTM,MAE@2,25.829628702436395,23.922046000817268,-7.3852501853392605,3.276518416678809e-08,True
LSTM,MAE@3,26.057561041295294,24.31687390636854,-6.680161401783395,3.791945639585013e-07,True
LSTM,MAE@4,26.28150954584426,24.67547833612953,-6.110878855391627,4.711137235739439e-06,True
LSTM,MAE@5,26.45016515232074,24.76491286164996,-6.371424454122601,4.009266123799896e-07,True
LSTM,MAE@6,26.81331483319969,25.180859325875094,-6.088227127006782,9.668613671799212e-07,True
LightGBM,MAE@1,12.930692440864341,12.962222194149929,0.2438365418540573,0.6072520564636865,False
LightGBM,MAE@2,15.270474563698476,14.561210638658325,-4.644675069406415,0.00729224539121564,True
LightGBM,MAE@3,16.87183491774675,15.845982802468836,-6.080264063032437,5.050292132144497e-06,True
LightGBM,MAE@4,17.98682929253062,17.232132984563187,-4.195827378429807,0.008295295323157469,True
LightGBM,MAE@5,19.309080174932433,18.391663876739273,-4.751216991600535,8.674689968128097e-05,True
LightGBM,MAE@6,20.331763988248145,19.290021752120055,-5.123717925951838,1.590125349697033e-08,True
