province,feature,importance
squeezed_An Giang,Total_Evaporation,0.2683134377002716
squeezed_An Giang,Total_Rainfall,1.124340295791626
squeezed_An Giang,Max_Daily_Rainfall,0.3345710039138794
squeezed_An Giang,n_raining_days,1.443272590637207
squeezed_An Giang,Average_temperature,1.007463812828064
squeezed_An Giang,Max_Average_Temperature,0.046958327293395996
squeezed_An Giang,Min_Average_Temperature,0.21410568058490753
squeezed_An Giang,Max_Absolute_Temperature,0.27413854002952576
squeezed_An Giang,Min_Absolute_Temperature,0.4009789526462555
squeezed_An Giang,Average_Humidity,1.515982985496521
squeezed_An Giang,Min_Humidity,0.12655548751354218
squeezed_An Giang,n_hours_sunshine,0.06639499217271805
squeezed_An Giang,population_male,0.20805923640727997
squeezed_An Giang,population_female,0.04857373237609863
squeezed_An Giang,population_urban,0.46424034237861633
squeezed_An Giang,population_countryside,0.023879291489720345
squeezed_An Giang,Influenza_rates,49.79777145385742
squeezed_An Giang,Influenza_rates_lag1,16.732385635375977
squeezed_An Giang,Influenza_rates_lag2,5.098474502563477
squeezed_An Giang,Influenza_rates_lag3,0.35306525230407715
squeezed_An Giang,Influenza_rates_lag4,5.429841995239258
squeezed_An Giang,Influenza_rates_lag5,2.744593381881714
squeezed_An Giang,Influenza_rates_lag6,0.3416614830493927
squeezed_An Giang,Influenza_rates_lag7,2.2171294689178467
squeezed_An Giang,Influenza_rates_lag8,6.781843662261963
squeezed_An Giang,Influenza_rates_lag9,4.0941243171691895
squeezed_An Giang,Influenza_rates_lag10,10.031533241271973
squeezed_An Giang,Influenza_rates_lag11,17.357194900512695
squeezed_An Giang,Influenza_rates_lag12,1.2656800746917725
squeezed_An Giang,Total_Evaporation_lag1,0.36488834023475647
squeezed_An Giang,Total_Evaporation_lag2,0.19108997285366058
squeezed_An Giang,Total_Evaporation_lag3,0.09416598081588745
squeezed_An Giang,Total_Evaporation_lag4,0.07072634994983673
squeezed_An Giang,Total_Evaporation_lag5,0.08030200749635696
squeezed_An Giang,Total_Evaporation_lag6,0.2256379872560501
squeezed_An Giang,Total_Evaporation_lag7,0.3754817247390747
squeezed_An Giang,Total_Evaporation_lag8,0.016673507168889046
squeezed_An Giang,Total_Evaporation_lag9,0.13747690618038177
squeezed_An Giang,Total_Evaporation_lag10,0.14586777985095978
squeezed_An Giang,Total_Evaporation_lag11,0.017154444009065628
squeezed_An Giang,Total_Evaporation_lag12,0.02063739486038685
squeezed_An Giang,Total_Rainfall_lag1,0.19886785745620728
squeezed_An Giang,Total_Rainfall_lag2,0.10435772687196732
