feature,importance
Dengue_fever_rates_lag1,6.337211
Dengue_fever_rates_rollmean_3,2.6920462
Diarrhoea_rates,1.5082399
month_cos,0.84649193
Max_Average_Temperature_lag1,0.5310543
Max_Absolute_Temperature_lag1,0.48345518
Min_Average_Temperature,0.42482856
Dengue_fever_rates_lag2,0.42168388
Dengue_fever_rates_rollstd_3,0.39818323
Max_Absolute_Temperature_lag2,0.39175263
Dengue_fever_rates_rollmean_6,0.34566155
toilet_rate,0.34242833
Min_Absolute_Temperature_lag12,0.3256625
Total_Rainfall_lag5,0.30785286
Dengue_fever_rates_lag3,0.30649823
Dengue_fever_rates_lag7,0.29269648
Max_Average_Temperature_lag2,0.2873549
Max_Average_Temperature,0.27898872
Dengue_fever_rates_lag12,0.27829802
Dengue_fever_rates_lag9,0.2767815
Average_temperature,0.27463475
Dengue_fever_rates_lag6,0.27426937
Dengue_fever_rates_lag10,0.2660455
Total_Rainfall,0.25004745
Dengue_fever_rates_rollstd_6,0.22582929
n_hours_sunshine_lag2,0.22017156
Min_Absolute_Temperature,0.21975859
n_hours_sunshine,0.21928553
Max_Absolute_Temperature_lag8,0.21396798
Total_Rainfall_lag4,0.20688243
Average_temperature_lag2,0.20052715
Average_temperature_lag12,0.19412492
Min_Humidity_lag3,0.18576875
Total_Evaporation,0.18485837
Max_Average_Temperature_lag12,0.18485406
n_hours_sunshine_lag6,0.18359962
urban_water_usage_rate,0.18222573
Max_Absolute_Temperature,0.18092753
Total_Rainfall_lag3,0.17708504
n_hours_sunshine_lag3,0.17269334
Total_Evaporation_lag3,0.16939427
Dengue_fever_rates_lag11,0.16662255
Min_Humidity_lag4,0.15666094
n_hours_sunshine_lag7,0.14673592
Max_Absolute_Temperature_lag12,0.1439516
Min_Average_Temperature_lag5,0.142509
Min_Average_Temperature_lag1,0.14184117
poverty_rate,0.13435738
Total_Rainfall_lag1,0.1338322
Min_Absolute_Temperature_lag1,0.1325471
Average_temperature_lag3,0.13078903
Total_Evaporation_lag11,0.12860022
Min_Humidity,0.12801336
Min_Absolute_Temperature_lag3,0.12658547
Average_Humidity,0.12656596
population_female,0.12490928
Total_Evaporation_lag4,0.12430426
Total_Evaporation_lag8,0.12350624
Min_Absolute_Temperature_lag7,0.1231785
n_hours_sunshine_lag10,0.12135855
Min_Humidity_lag2,0.12086557
n_hours_sunshine_lag1,0.11851125
n_raining_days_lag12,0.11826495
Min_Absolute_Temperature_lag5,0.11431551
Max_Daily_Rainfall,0.11373164
Min_Absolute_Temperature_lag9,0.11265441
Max_Average_Temperature_lag3,0.112011805
Total_Evaporation_lag1,0.10648005
Total_Evaporation_lag2,0.10579955
Total_Rainfall_lag6,0.10561558
Average_temperature_lag7,0.104619265
Max_Average_Temperature_lag8,0.103884615
Min_Humidity_lag5,0.10361672
Min_Average_Temperature_lag7,0.1010687
Influenza_rates,0.0992295
Dengue_fever_rates_lag8,0.098926164
n_raining_days,0.098064825
Average_temperature_lag4,0.097370155
Average_temperature_lag1,0.09608059
Total_Rainfall_lag7,0.09603456
Dengue_fever_rates_lag4,0.09589835
Max_Absolute_Temperature_lag3,0.09356573
population_male,0.09244517
Max_Average_Temperature_lag6,0.090144485
Total_Rainfall_lag8,0.0899773
Total_Rainfall_lag11,0.089755125
Max_Daily_Rainfall_lag6,0.08950741
n_hours_sunshine_lag12,0.088745125
Average_Humidity_lag12,0.088173985
population_urban,0.08814579
birth_rate,0.08619241
Min_Humidity_lag6,0.08490003
Max_Daily_Rainfall_lag4,0.084334575
population_urban_lag12,0.08238198
Total_Rainfall_lag12,0.081653684
Max_Absolute_Temperature_lag4,0.08156938
Max_Absolute_Temperature_lag7,0.07972587
Dengue_fever_rates_lag5,0.07884486
population_urban_lag7,0.07792708
n_hours_sunshine_lag4,0.077873096
Min_Absolute_Temperature_lag4,0.077721424
Max_Daily_Rainfall_lag7,0.07733474
population_urban_lag11,0.077187
Min_Absolute_Temperature_lag2,0.077169664
Average_Humidity_lag3,0.075413495
Average_Humidity_lag4,0.075185865
n_hours_sunshine_lag5,0.07464636
Average_Humidity_lag9,0.07326446
Average_temperature_lag11,0.07193859
Max_Daily_Rainfall_lag11,0.071308844
Min_Average_Temperature_lag8,0.07086398
Average_temperature_lag6,0.06911501
Min_Absolute_Temperature_lag8,0.06811306
Total_Evaporation_lag10,0.06761691
n_raining_days_lag11,0.06657431
Min_Absolute_Temperature_lag6,0.06616253
Min_Average_Temperature_lag12,0.066010036
Average_Humidity_lag1,0.06597541
Max_Absolute_Temperature_lag5,0.065817975
Max_Daily_Rainfall_lag5,0.06559324
Max_Average_Temperature_lag9,0.064479895
population_female_lag7,0.06207131
Total_Rainfall_lag2,0.0613403
n_hours_sunshine_lag9,0.060942728
Max_Average_Temperature_lag4,0.060369294
Min_Humidity_lag11,0.060102828
Max_Daily_Rainfall_lag12,0.059804175
Max_Daily_Rainfall_lag1,0.05950502
Min_Average_Temperature_lag3,0.059267394
Max_Average_Temperature_lag10,0.058915265
Max_Daily_Rainfall_lag8,0.057995446
Min_Average_Temperature_lag11,0.057785325
n_hours_sunshine_lag11,0.05627375
n_raining_days_lag7,0.055957563
Max_Daily_Rainfall_lag3,0.055652354
Min_Average_Temperature_lag10,0.054481223
Max_Absolute_Temperature_lag9,0.053999018
Average_Humidity_lag8,0.053429343
Max_Daily_Rainfall_lag10,0.05229896
Min_Humidity_lag7,0.051745955
Total_Rainfall_lag9,0.050734673
Average_temperature_lag5,0.049588997
population_density,0.049396962
month_sin,0.04747702
n_raining_days_lag2,0.047131553
population_male_lag1,0.04700254
Total_Evaporation_lag12,0.046312563
Average_Humidity_lag10,0.045788027
n_raining_days_lag9,0.044772573
n_raining_days_lag4,0.04458779
Min_Absolute_Temperature_lag11,0.044473615
Total_Evaporation_lag5,0.04438267
Average_Humidity_lag7,0.04393762
n_raining_days_lag5,0.043916386
Total_Evaporation_lag7,0.043867465
Min_Humidity_lag10,0.043854263
Min_Absolute_Temperature_lag10,0.043758422
Total_Evaporation_lag9,0.04369979
Min_Average_Temperature_lag2,0.04366099
area,0.043493953
population_countryside,0.043472346
Average_temperature_lag8,0.043371603
Average_Humidity_lag11,0.043301426
Max_Average_Temperature_lag7,0.042522784
n_raining_days_lag10,0.04216282
population_average,0.04210137
Min_Humidity_lag1,0.042097628
n_raining_days_lag8,0.04055573
Min_Humidity_lag9,0.039166726
Max_Absolute_Temperature_lag6,0.03907438
Total_Rainfall_lag10,0.03875495
n_hours_sunshine_lag8,0.03873669
Average_Humidity_lag6,0.038638387
Max_Daily_Rainfall_lag2,0.038621943
population_female_lag11,0.03856996
Min_Humidity_lag12,0.037630353
Max_Average_Temperature_lag5,0.037602313
Total_Evaporation_lag6,0.037256908
n_raining_days_lag3,0.03710315
Average_Humidity_lag2,0.03674423
Min_Average_Temperature_lag9,0.034983102
clean_water_rate_all,0.034172043
Max_Daily_Rainfall_lag9,0.033712104
Max_Absolute_Temperature_lag11,0.03274538
population_male_lag12,0.032684896
Min_Humidity_lag8,0.03191375
Average_temperature_lag10,0.031799473
population_male_lag3,0.03130538
population_countryside_lag3,0.031246552
n_raining_days_lag1,0.030468915
Min_Average_Temperature_lag6,0.029976316
population_male_lag7,0.02825792
Min_Average_Temperature_lag4,0.028154092
population_male_lag5,0.027485184
population_countryside_lag12,0.02746887
Average_temperature_lag9,0.026205616
Average_Humidity_lag5,0.025673857
