model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
Naive,11.911129019415174,28.7937028974892,32.871745314059915,13.862727124744588,30.062661290938326,39.765767122293056,15.208249497267463,33.317753955220866,42.38906375016227,16.946371879987364,35.79255203603205,46.47110278939059,17.26972818848016,36.080440847227315,47.731394682325174,18.0690875131647,36.69480059002165,50.88089556683766,288.74615478515625,0.625,0.6666666666666666
HistGB,12.70739021234254,25.353155793526888,40.00355541719799,14.13747578716027,26.834946436079438,44.323092725461905,15.80362050692526,29.80399014911731,47.29156852062674,16.978751648248824,31.60351929950689,49.97666957118692,18.211570883015,32.079715608304966,53.278261035442085,19.16306580012554,33.3873991977751,55.88738072921284,288.74615478515625,0.7692307692307693,0.6666666666666666
LightGBM,12.96480050208547,25.369137812104054,41.161815436196406,15.111193402350976,27.996918707301496,45.958027404800326,16.71442833977997,31.18471648506231,49.17657512524246,18.472072496510457,33.295424762541536,52.658495655079285,19.146718295823447,33.58872539405807,54.0109436263625,19.48857437122583,33.98407963426967,56.06442687165046,288.74615478515625,0.7333333333333333,0.7333333333333333
XGBoost,13.593122482299805,26.946613796861147,41.31654357910156,15.017181396484375,27.931724139030628,46.20191192626953,17.096643447875977,31.69994728252468,50.08998489379883,18.065731048583984,34.17196073377448,51.32404708862305,19.050857543945312,34.53566148291502,53.53865051269531,19.54076385498047,35.031161142282485,55.92927169799805,288.74615478515625,0.6875,0.7333333333333333
SeasonalNaive,16.86682849141084,31.542019698212822,45.61031818286339,17.5205929426761,33.5233516789331,47.37694777239872,17.579318876330557,34.07698048312428,47.92038905728063,17.8961289605069,34.95400335596828,49.325981252047065,18.341482323701033,35.97272734813709,50.874979120689176,18.89770419307419,37.8014581350146,52.2459464167281,288.74615478515625,0.46153846153846156,0.8
LSTM,22.496530532836914,34.543919126711906,55.83353042602539,22.87010955810547,35.902289136409884,57.04349136352539,22.9073543548584,35.84646417905991,58.20689392089844,23.304759979248047,36.564489796283226,59.86637496948242,23.675878524780273,36.97595093118803,61.424381256103516,23.899404525756836,36.82367157258952,63.0019416809082,288.74615478515625,0.0,0.0
Prophet,22.65613721837692,35.88863726708277,64.20513915458473,23.453288239450494,38.03882659877321,65.8496222694959,24.331126973835747,38.763018392194674,68.41784990170416,25.288911091414278,40.12701371727389,70.6989773047191,26.211271119673444,41.763837905900175,72.82690742184947,26.514255950363882,42.73101793735535,73.83575360452483,288.74615478515625,0.5,0.8666666666666667
