province,MAE
squeezed_Thanh Hóa,2.549551197740873
squeezed_Hà Tĩnh,3.8858248400137776
squeezed_Long An,3.8963804987709985
squeezed_Thái Nguyên,3.9711803438807145
squeezed_Cà Mau,3.9752289344200697
squeezed_Sóc Trăng,4.1007838209996486
squeezed_Bắc Giang,4.120227754199644
squeezed_Phú Thọ,4.211455302664709
squeezed_Kiên Giang,4.241102888350796
squeezed_Tiền Giang,4.4811961573724535
squeezed_Nam Định,5.0817510056835955
squeezed_BR Vũng Tàu,5.443236303854781
squeezed_Bạc Liêu,5.6199484922423295
squeezed_Bình Định,5.634124179337971
squeezed_TT Huế,5.699948806819992
squeezed_Yên Bái,6.034540484092061
squeezed_Hưng Yên,6.4180056359963915
squeezed_Ninh Bình,6.453839697751753
squeezed_Tuyên Quang,6.666212483110438
squeezed_Quảng Ninh,6.749636957455119
squeezed_An Giang,7.314389099183161
squeezed_Nghệ An,7.849728174059481
squeezed_Hải Dương,8.270443509276673
squeezed_Cần Thơ,8.328021877469107
squeezed_Lạng Sơn,8.531567856646047
squeezed_Bình Phước,8.697304450182013
squeezed_Quảng Trị,8.708355626304789
squeezed_Đồng Tháp,9.181942608218838
squeezed_Đắk Lắk,9.187519876171612
squeezed_Bắc Kạn,9.323741998974201
squeezed_Đắk Nông,9.4380115342736
squeezed_Hải Phòng,9.553887474470114
squeezed_Hòa Bình,9.707375356213829
squeezed_Quảng Nam,10.02225915623297
squeezed_Vĩnh Phúc,10.938404880233087
squeezed_Hà Nội,11.064675999871639
squeezed_Tây Ninh,11.15956415178737
squeezed_Khánh Hòa,11.31351907956676
squeezed_Gia Lai,12.64724104418689
squeezed_Bình Thuận,12.836828259587184
squeezed_Sơn La,13.446440312161405
squeezed_Trà Vinh,13.465332746659541
squeezed_Quảng Bình,13.59124569286872
squeezed_Ninh Thuận,14.111780241115447
squeezed_Lâm Đồng,14.266154233744127
squeezed_Phú Yên,14.295623453833853
squeezed_Quảng Ngãi,14.548363941076909
squeezed_Hà Giang,15.370858109818343
squeezed_Đà Nẵng,15.668144292402417
squeezed_Lai Châu,17.6449849166252
squeezed_Lào Cai,20.74432417449815
squeezed_Cao Bằng,26.44884272533633
squeezed_Kon Tum,44.3651466361428
squeezed_Điện Biên,63.891816034035806
squeezed_Thái Bình,72.9134638320556
