model,wilcoxon_stat,p_value
Naive,239193.0,2.168340430339023e-45
Prophet,257886.0,8.255219409149078e-38
XGBoost,307301.0,1.6041267977086232e-20
HistGB,286178.5,3.0628937530646673e-27
LightGBM,300764.0,1.7087366914672496e-22
LSTM,278520.0,5.008693326016374e-26
