model,horizon,base_mae,cross_mae,delta_%,p_value,significant
HistGB,MAE@1,25.48634378092793,26.36387719416644,3.4431514413424553,0.0009287795656060991,True
HistGB,MAE@2,28.663791346142993,28.346180696031485,-1.1080552683211102,0.4657461057348845,False
HistGB,MAE@3,31.72656395654763,30.777966538249732,-2.989915389504789,3.438302314534638e-15,True
HistGB,MAE@4,32.75315764981667,32.812002024331086,0.17966015717798764,3.0842697827995298e-06,True
HistGB,MAE@5,33.89356611731507,33.146401588114166,-2.2044435413339425,1.127016428866563e-06,True
HistGB,MAE@6,36.51747150023054,35.34085638350744,-3.2220607517025663,7.00363259151765e-26,True
XGBoost,MAE@1,25.602310134240156,25.699060877876516,0.3778984909137816,0.24008910221119806,False
XGBoost,MAE@2,27.837810156008334,29.187627359338634,4.848862736564659,2.1039308240658712e-05,True
XGBoost,MAE@3,30.444778510740147,29.98393591793712,-1.513699935903466,0.08584904872141602,False
XGBoost,MAE@4,31.83464455724773,32.62442942483106,2.480897395172947,0.24401157485420855,False
XGBoost,MAE@5,34.143877069189394,33.47005511254318,-1.9734781591463013,0.006364497291963448,True
XGBoost,MAE@6,35.61735348742197,34.85470621957349,-2.1412238506654058,0.0005157134020825129,True
LSTM,MAE@1,43.049783694569776,38.76498256530223,-9.953130449312848,1.4778093074062472e-14,True
LSTM,MAE@2,44.647693008124136,39.96442544338242,-10.489383099569215,5.809826885531264e-16,True
LSTM,MAE@3,45.677493412858134,40.229688823729376,-11.926671500750983,2.4630207096930437e-19,True
LSTM,MAE@4,46.51624044483192,40.329087896497306,-13.30105891870723,8.01264744198473e-23,True
LSTM,MAE@5,46.97960900329761,40.49824248814726,-13.796126984997695,2.904146848329633e-24,True
LSTM,MAE@6,48.130358772017736,41.36608048003624,-14.05407826694645,8.144873475117961e-25,True
LightGBM,MAE@1,25.85889166211769,25.489099105650585,-1.4300402403125272,0.14893186222950114,False
LightGBM,MAE@2,28.295399917261282,28.442722762594276,0.5206600569837544,0.27077756496978767,False
LightGBM,MAE@3,30.372770215714386,30.57881054877085,0.6783718824233622,0.3534745421793064,False
LightGBM,MAE@4,31.81499115034833,31.516107538569827,-0.9394426997199747,0.11011889318032017,False
LightGBM,MAE@5,34.2674735212272,33.23575900934688,-3.010769122623592,1.749331022612297e-06,True
LightGBM,MAE@6,34.84280548739774,34.79764730635407,-0.12960546779162513,0.057642531011910046,False
