model,wilcoxon_stat,p_value
Naive,325236.0,2.6126875854177997e-10
Prophet,251496.0,1.9070949279581237e-40
XGBoost,289149.0,3.1011322187780246e-26
HistGB,313377.0,8.972357056697833e-19
LightGBM,286751.0,4.802194178727102e-27
LSTM,345326.0,2.1468813758668272e-08
