model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
LightGBM,25.489099041837115,45.224102973510625,51.49080919252816,28.442722654382315,48.54856609260659,54.01605377229639,30.57881042794225,52.19575708851473,56.730059333748564,31.516107404152276,53.80592589053773,58.59677170312247,33.23575901189529,56.36029087102338,60.087464960684656,34.797647229678574,57.90937258185801,62.74510713906138,247.220464324951,0.632183908045977,0.8333333333333334
XGBoost,25.699058532714844,45.71014636236412,51.25958323478699,29.1876277923584,50.33320129242477,53.81667613983154,29.983936309814453,51.61487869912124,55.68587779998779,32.624427795410156,55.73419321178651,59.05689597129822,33.47005081176758,57.27993511515943,60.0644588470459,34.854705810546875,58.94437592446798,62.295764684677124,247.220464324951,0.6867469879518072,0.8636363636363636
HistGB,26.363877156215963,45.77429734140007,52.86141378551659,28.346180648812318,48.23550143672284,54.03567760074576,30.777966439767656,52.25648828202352,57.1893015557173,32.812001893885444,54.87421166655913,59.569272911853645,33.14640154976596,55.66405551744931,59.8984709792653,35.34085631722424,58.06066347896776,63.82608834142734,247.220464324951,0.625,0.8333333333333334
Naive,29.578797481070445,53.40004356139865,43.6489173881571,32.765063515854465,57.686095601036705,47.580656352739986,32.47192963078861,57.7786086362379,50.08099192960898,36.12610311903546,61.67172981996422,54.26815889076184,36.095659548964385,61.42155329073015,55.9602872989805,36.58408336843743,62.236369067444265,56.72131509219858,247.220464324951,0.5694444444444444,0.6212121212121212
SeasonalNaive,35.904912414616255,60.508527457430446,51.12362381226346,38.61154036808362,64.65502242396214,53.762246986170936,40.617438390172694,68.57604373325076,56.30835632151495,43.12629232554373,71.11400878035118,59.54989069311342,45.458345618977624,73.64162148939067,62.13733331883139,45.951104151013524,74.40862184661076,63.70673264235911,247.220464324951,0.4369747899159664,0.7878787878787878
LSTM,38.76498031616211,56.615099851982954,67.04787611961365,39.96442413330078,58.48644132069735,68.61604452133179,40.22969055175781,59.282331055641066,69.94134783744812,40.32908630371094,59.35772363786157,71.08080983161926,40.49824142456055,59.9111300666193,71.88616991043091,41.3660774230957,60.77560224403375,73.53337407112122,251.80011901855485,0.44545454545454544,0.7538461538461538
Prophet,48.824293063660285,77.87558511454746,81.59633791577167,50.73241233009665,79.13396534576496,84.16823017813716,53.35293660664208,82.72467604749245,86.69388839077249,54.799340436774045,86.28083046726476,87.80546449561582,55.893487055067176,88.60905112708778,89.79562030856437,56.46120479925774,89.02951928093681,90.37061632623427,247.220464324951,0.40298507462686567,0.8181818181818182
