feature,importance
Influenza_rates_rollmean_6,37.546566
Influenza_rates_rollmean_3,30.141819
Influenza_rates_lag1,15.556281
Influenza_rates_lag11,14.14126
Influenza_rates_lag2,5.9863706
Influenza_rates_lag10,5.555197
Diarrhoea_rates,5.493159
Influenza_rates_lag8,3.365112
Influenza_rates_lag5,3.2700357
Influenza_rates_lag12,3.159261
Influenza_rates_lag9,2.9710507
Influenza_rates_lag4,2.530652
Max_Absolute_Temperature_lag2,1.7676558
Influenza_rates_lag3,1.731823
Max_Daily_Rainfall_lag11,1.6884586
Average_temperature_lag10,1.6183361
Influenza_rates_rollstd_6,1.4681259
Average_Humidity,1.3634427
Total_Evaporation,1.2824296
Total_Rainfall_lag11,1.1472094
month_cos,1.0973392
Average_temperature_lag11,1.0916685
Influenza_rates_lag6,1.0913578
Max_Average_Temperature_lag2,1.0687013
Diarrhoea_rates_lag11,1.043785
Influenza_rates_lag7,0.9810299
n_raining_days,0.9759865
n_raining_days_lag1,0.9601257
Min_Humidity_lag7,0.90723664
Diarrhoea_rates_lag1,0.8524478
Min_Average_Temperature_lag7,0.831458
Min_Humidity_lag1,0.80891895
Max_Absolute_Temperature_lag11,0.80837023
Max_Absolute_Temperature_lag9,0.7963056
Min_Average_Temperature_lag10,0.7927336
Max_Absolute_Temperature_lag3,0.792221
Total_Rainfall,0.7851401
Diarrhoea_rates_lag2,0.78342557
Total_Evaporation_lag2,0.76616585
Min_Average_Temperature_lag8,0.74820065
Diarrhoea_rates_lag4,0.73804414
Min_Absolute_Temperature_lag8,0.7244443
Min_Absolute_Temperature_lag5,0.6808291
Diarrhoea_rates_lag10,0.68081605
Influenza_rates_rollstd_3,0.67447656
n_raining_days_lag10,0.6636555
Min_Average_Temperature_lag6,0.6490748
n_hours_sunshine_lag2,0.640254
population_urban_lag5,0.6349276
Min_Humidity_lag12,0.61591977
n_raining_days_lag12,0.6129309
Total_Evaporation_lag9,0.5967366
Min_Humidity,0.5916655
n_hours_sunshine_lag4,0.58918196
Max_Absolute_Temperature_lag10,0.5713884
Min_Humidity_lag11,0.5564606
Average_temperature_lag8,0.55374545
population_urban_lag1,0.5455513
Max_Absolute_Temperature_lag1,0.5264827
Min_Absolute_Temperature_lag10,0.52368146
Max_Average_Temperature_lag3,0.523239
Min_Absolute_Temperature,0.5230577
Total_Evaporation_lag1,0.5215454
Min_Absolute_Temperature_lag4,0.51642245
Max_Absolute_Temperature_lag7,0.51598644
Dengue_fever_rates_lag12,0.5121031
Diarrhoea_rates_lag7,0.51131463
Total_Evaporation_lag10,0.5077251
Min_Absolute_Temperature_lag12,0.50571895
n_hours_sunshine_lag1,0.49891886
Total_Evaporation_lag11,0.49668658
Max_Average_Temperature_lag11,0.49370655
population_male,0.48826933
Total_Rainfall_lag8,0.48580757
n_raining_days_lag7,0.4833321
Min_Humidity_lag3,0.4829126
Min_Humidity_lag5,0.47991216
n_hours_sunshine_lag9,0.4782315
n_hours_sunshine_lag8,0.47082412
Max_Daily_Rainfall_lag5,0.4685361
Max_Average_Temperature_lag7,0.465176
Max_Average_Temperature_lag8,0.46027598
Diarrhoea_rates_lag3,0.45927748
Total_Rainfall_lag6,0.45524713
Diarrhoea_rates_lag5,0.455073
n_raining_days_lag11,0.44863743
Dengue_fever_rates,0.44382897
Max_Absolute_Temperature_lag12,0.44374436
population_male_lag8,0.4427374
Average_Humidity_lag11,0.43885252
Total_Evaporation_lag4,0.43335325
Max_Daily_Rainfall,0.4314847
n_hours_sunshine_lag10,0.4309078
Max_Daily_Rainfall_lag12,0.42330232
Min_Humidity_lag6,0.4168446
Total_Rainfall_lag1,0.41216624
Average_Humidity_lag12,0.41001624
n_hours_sunshine_lag3,0.40806347
population_countryside,0.40779063
Min_Humidity_lag4,0.40643355
population_urban,0.40384448
Max_Average_Temperature_lag4,0.40265405
n_raining_days_lag2,0.39629388
Max_Absolute_Temperature_lag5,0.3908736
Total_Rainfall_lag10,0.39070156
Diarrhoea_rates_lag6,0.3876592
Total_Evaporation_lag3,0.38749987
Average_temperature_lag5,0.38502783
Max_Daily_Rainfall_lag8,0.38212478
Dengue_fever_rates_lag11,0.38209498
Max_Daily_Rainfall_lag10,0.37915573
Diarrhoea_rates_lag9,0.3770902
Max_Absolute_Temperature,0.3751528
Min_Absolute_Temperature_lag6,0.36471045
Min_Humidity_lag2,0.3626164
n_hours_sunshine_lag7,0.3596954
Average_temperature_lag7,0.35784215
n_hours_sunshine,0.35769778
Dengue_fever_rates_lag8,0.35721928
n_hours_sunshine_lag5,0.3543962
population_countryside_lag8,0.35318112
Min_Humidity_lag10,0.34808096
Average_temperature_lag12,0.34695533
Diarrhoea_rates_lag8,0.3457649
Total_Rainfall_lag12,0.34135604
Max_Average_Temperature,0.34071022
population_countryside_lag1,0.33854055
Average_temperature_lag3,0.3323197
n_hours_sunshine_lag12,0.3318478
population_urban_lag2,0.32777944
Total_Evaporation_lag5,0.3257029
