target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson
Influenza_rates,Total_Evaporation,0,14352,55,0.011570247933884281,month_province,0.0032709963562810524,0.00424556174968674,0.002667743258237526,0.05570345862963086,0.012092570783783785,,0.00424556174968674,0.0032709963562810524
Influenza_rates,Total_Evaporation,1,14299,55,0.015220385674931114,month_province,-0.014617055378290089,-0.020251393032965918,-0.013533195129842872,0.05886728521681187,0.011313594176368902,,0.020251393032965918,0.014617055378290089
Influenza_rates,Total_Evaporation,2,14246,55,0.018870523415977947,month_province,-0.012814002251988041,-0.009087807216662124,-0.006036435681594292,0.05992393732914448,0.0,,0.009087807216662124,0.012814002251988041
Influenza_rates,Total_Evaporation,3,14193,55,0.02252066115702478,month_province,0.0076818625344769915,0.017196985691008745,0.011501027930499622,0.05955168567379499,0.011934569171622833,,0.017196985691008745,0.0076818625344769915
Influenza_rates,Total_Evaporation,4,14140,55,0.026170798898071612,month_province,0.025695252546309826,0.03960993402884338,0.0264943886726739,0.059156766451023045,0.02356986923990867,,0.03960993402884338,0.025695252546309826
Influenza_rates,Total_Evaporation,5,14087,55,0.029820936639118445,month_province,0.04202841238554027,0.060888200087839725,0.04075013119956452,0.05717114469413907,0.0,,0.060888200087839725,0.04202841238554027
Influenza_rates,Total_Evaporation,6,14034,55,0.03347107438016528,month_province,0.055806517291825106,0.0754633790858092,0.050578990079508696,0.06065859134811728,0.018490936400819002,,0.0754633790858092,0.055806517291825106
Influenza_rates,Total_Rainfall,0,14352,55,0.011570247933884281,month_province,0.01331500583128611,0.015545829615265233,0.010601363118757078,0.0695930893789333,0.010144485072604681,,0.015545829615265233,0.01331500583128611
Influenza_rates,Total_Rainfall,1,14299,55,0.015220385674931114,month_province,0.02532893625581355,0.04055792058321223,0.027157593413591648,0.08112002731021305,0.03301476733835251,,0.04055792058321223,0.02532893625581355
Influenza_rates,Total_Rainfall,2,14246,55,0.018870523415977947,month_province,0.032998324966715044,0.04836209699546159,0.032593829943667656,0.06094660493143192,0.020730259392340855,,0.04836209699546159,0.032998324966715044
Influenza_rates,Total_Rainfall,3,14193,55,0.02252066115702478,month_province,0.031229733267330043,0.03996319021937702,0.0268988481605174,0.06682755196650293,0.021486436282129873,,0.03996319021937702,0.031229733267330043
Influenza_rates,Total_Rainfall,4,14140,55,0.026170798898071612,month_province,0.015780512792805356,0.023654871023386696,0.015907113419630917,0.07905037965444939,0.026050840739247683,,0.023654871023386696,0.015780512792805356
Influenza_rates,Total_Rainfall,5,14087,55,0.029820936639118445,month_province,0.007729033458035476,0.0014184341521761546,0.0009397266590193182,0.05233067712143718,0.009654771195179102,,0.0014184341521761546,0.007729033458035476
Influenza_rates,Total_Rainfall,6,14034,55,0.03347107438016528,month_province,-0.0026424462347737704,-0.012630941737588783,-0.008505254785883367,0.054201503051767685,0.013109419161483338,,0.012630941737588783,0.0026424462347737704
Influenza_rates,Max_Daily_Rainfall,0,14352,55,0.011570247933884281,month_province,0.011745589352951617,0.010714933649496742,0.0072644680862686255,0.048323754182734505,0.00041147554006926157,,0.010714933649496742,0.011745589352951617
