province,column,n_unique,std
squeezed_Hà Giang,population_urban,22,25.292681772395532
squeezed_Bạc Liêu,population_female,22,25.294479589967303
squeezed_Vĩnh Phúc,population_male,22,25.445863308289074
squeezed_Thanh Hóa,population_female,22,25.559363877416494
squeezed_Quảng Ninh,population_countryside,22,25.715836893804564
squeezed_Vĩnh Phúc,population_female,22,26.08351038586615
squeezed_Hòa Bình,population_countryside,22,26.22195900559128
squeezed_Phú Thọ,population_female,22,26.34961801281923
squeezed_Lào Cai,population_countryside,22,26.40669261524497
squeezed_Kiên Giang,population_countryside,22,27.65810379952182
squeezed_Đồng Tháp,population_urban,22,28.013548920843572
squeezed_Tiền Giang,population_male,22,28.196597180546146
squeezed_Ninh Bình,population_urban,22,28.418997112861426
squeezed_An Giang,population_male,22,28.48217806188215
squeezed_Tây Ninh,population_urban,22,28.585692976998242
squeezed_Phú Thọ,population_countryside,22,28.605325560343182
squeezed_Tây Ninh,population_female,22,28.869452932179122
squeezed_Bắc Giang,population_urban,22,29.109552463548784
squeezed_Hải Dương,population_female,22,29.83146644204144
squeezed_Phú Thọ,population_male,22,30.218543004624067
squeezed_Bình Thuận,population_female,22,30.63753883974731
squeezed_Thái Nguyên,population_male,22,31.624184607134385
squeezed_Phú Thọ,population_urban,22,31.79589739115867
squeezed_Bạc Liêu,population_male,22,32.476786881664026
squeezed_An Giang,population_female,22,32.55044205054595
squeezed_Khánh Hòa,population_female,22,32.70736008167576
squeezed_Quảng Bình,population_urban,22,33.00875620433197
squeezed_Hưng Yên,population_male,22,33.22456719491252
squeezed_Khánh Hòa,population_male,22,33.323255672203466
squeezed_Bình Thuận,population_male,22,33.35180900095771
squeezed_Hải Phòng,population_countryside,22,33.78212955197047
squeezed_Nam Định,population_urban,22,34.11595246513434
squeezed_Kiên Giang,population_female,22,34.196762379374526
squeezed_Bạc Liêu,population_countryside,22,34.21881206851233
squeezed_Tây Ninh,population_male,22,34.984488628935246
squeezed_Ninh Thuận,population_urban,22,35.09807252895711
squeezed_Yên Bái,population_countryside,22,35.11711011060935
squeezed_Kon Tum,population_female,22,35.14345182237704
squeezed_Tây Ninh,population_countryside,22,35.89684145789003
squeezed_Kon Tum,population_male,22,35.988940094019284
squeezed_Hưng Yên,population_countryside,22,36.096985099374486
squeezed_Phú Yên,population_urban,22,36.284729820984175
squeezed_Tiền Giang,population_countryside,22,37.09041991934558
squeezed_Hà Giang,population_female,22,37.37523729436266
squeezed_Bắc Giang,population_female,22,37.63964951894598
squeezed_Thái Nguyên,population_female,22,39.28919522417882
squeezed_Bình Phước,population_urban,22,39.71957615532519
squeezed_Thanh Hóa,population_male,22,39.74310880803451
squeezed_Đắk Lắk,population_urban,22,40.805358777477714
squeezed_Bình Định,population_countryside,22,40.97656930773248
squeezed_Lâm Đồng,population_urban,22,41.35516181169014
squeezed_Hải Dương,population_male,22,41.497653662636544
squeezed_Hà Giang,population_male,22,42.304487719370236
squeezed_Hà Tĩnh,population_urban,22,43.2190490337324
squeezed_Bắc Giang,population_male,22,44.63539510150849
squeezed_Hà Tĩnh,population_countryside,22,46.01641117602131
squeezed_Khánh Hòa,population_urban,22,46.47298084873556
squeezed_Kon Tum,population_countryside,22,46.765831535144905
squeezed_Quảng Ninh,population_female,22,47.10496889311666
squeezed_Quảng Ninh,population_male,22,48.2529057768451
squeezed_Đắk Lắk,population_male,22,49.40348069679584
squeezed_Đắk Lắk,population_female,22,49.827326593077636
squeezed_Kiên Giang,population_male,22,50.071243805185695
squeezed_Lâm Đồng,population_male,22,52.14894247875879
squeezed_Lâm Đồng,population_female,22,52.455341501758575
squeezed_Bình Định,population_urban,22,52.90663544755199
squeezed_Bắc Giang,population_countryside,22,54.38763129624719
squeezed_Sơn La,population_female,22,54.66587482565834
squeezed_Lai Châu,population_female,22,54.716638020255495
squeezed_Hà Giang,population_countryside,22,55.01289942833768
squeezed_Lai Châu,population_male,22,55.201183229697875
squeezed_Quảng Nam,population_urban,22,55.985271736826284
squeezed_Hải Phòng,population_female,22,56.46200290555975
squeezed_Kiên Giang,population_urban,22,56.7689691473947
squeezed_BR Vũng Tàu,population_female,22,57.76282347877109
squeezed_Sơn La,population_male,22,58.296887637887345
squeezed_BR Vũng Tàu,population_male,22,58.402825502306754
squeezed_Long An,population_female,22,59.0230666581064
squeezed_Bình Phước,population_male,22,59.179482435404196
squeezed_Hải Phòng,population_male,22,59.32641851730906
squeezed_Vĩnh Phúc,population_urban,22,59.866794180535045
squeezed_Bình Phước,population_female,22,60.3463690664495
squeezed_Thái Nguyên,population_urban,22,61.29490484804245
squeezed_Nghệ An,population_female,22,63.21885945103136
squeezed_Lâm Đồng,population_countryside,22,63.564942875848764
squeezed_Thanh Hóa,population_urban,22,64.00974155103074
squeezed_Gia Lai,population_urban,22,64.67880240845324
squeezed_Nam Định,population_countryside,22,65.81499122100894
squeezed_Long An,population_male,22,67.04720695398562
squeezed_Nghệ An,population_urban,22,69.00163493840964
squeezed_Sóc Trăng,population_urban,22,69.20572098717976
squeezed_Sóc Trăng,population_countryside,22,69.94663444103726
squeezed_Đà Nẵng,population_male,22,73.35833078708762
squeezed_Đà Nẵng,population_female,22,73.6843500672613
squeezed_TT Huế,population_countryside,22,73.76588446391598
squeezed_An Giang,population_urban,22,75.10090151570135
squeezed_Nghệ An,population_countryside,22,76.51338206969945
squeezed_Nghệ An,population_male,22,76.97599534597869
squeezed_Bình Thuận,population_urban,22,77.01154549725668
squeezed_Hải Dương,population_urban,22,80.94914787273746
squeezed_Bình Phước,population_countryside,22,82.96345322036646
squeezed_Đắk Lắk,population_countryside,22,83.0196706116754
squeezed_Gia Lai,population_male,22,85.4589722741197
squeezed_Gia Lai,population_female,22,87.57197780508453
squeezed_Sơn La,population_countryside,22,91.22956627546749
squeezed_An Giang,population_countryside,22,95.9175303794406
squeezed_Lai Châu,population_countryside,22,97.28306081581836
squeezed_TT Huế,population_urban,22,100.70298327197676
squeezed_Long An,population_countryside,22,104.43336994890235
squeezed_Gia Lai,population_countryside,22,108.35175014509056
squeezed_BR Vũng Tàu,population_urban,22,109.98345338359682
squeezed_Quảng Ninh,population_urban,22,117.05060058590328
squeezed_Hải Phòng,population_urban,22,129.0850075859744
squeezed_Cần Thơ,population_male,22,144.40141492747864
squeezed_Đà Nẵng,population_urban,22,148.44897422394166
squeezed_Cần Thơ,population_female,22,154.06660952945265
squeezed_Cần Thơ,population_urban,22,173.91885783057256
squeezed_Cần Thơ,population_countryside,22,442.9012502468783
squeezed_Hà Nội,population_urban,22,822.4567544180119
squeezed_Hà Nội,population_male,22,1047.1106866981736
squeezed_Hà Nội,population_female,22,1095.2654341364241
squeezed_Hà Nội,population_countryside,22,1377.8161021526928
squeezed_Khánh Hòa,Average_Humidity,24,4.249613429726524
squeezed_Đồng Tháp,Min_Humidity,24,4.7848916050602766
squeezed_Tuyên Quang,Dengue_fever_rates,24,4.80466950947603
squeezed_Đà Nẵng,Average_Humidity,24,5.384504004942983
squeezed_TT Huế,Average_Humidity,25,4.632493680979596
squeezed_Hải Dương,Average_Humidity,25,4.653659990646066
squeezed_Quảng Ngãi,Average_Humidity,25,4.997346345857883
squeezed_Lào Cai,Dengue_fever_rates,26,2.543830078078946
squeezed_Tiền Giang,Average_Humidity,26,2.942472219949695
squeezed_BR Vũng Tàu,Min_Humidity,26,4.979813186353736
squeezed_Hải Phòng,Average_Humidity,27,4.876750880514288
squeezed_Thái Bình,n_raining_days,27,6.372989834142133
squeezed_Đắk Lắk,Average_Humidity,27,6.3911158134303525
squeezed_Hưng Yên,n_raining_days,27,6.422598417431112
squeezed_Vĩnh Phúc,n_raining_days,27,6.635143057464633
squeezed_Hải Phòng,n_raining_days,27,6.765486604752221
squeezed_Ninh Thuận,n_raining_days,27,6.79135188305311
squeezed_Lào Cai,n_raining_days,27,8.507713206207749
squeezed_BR Vũng Tàu,n_raining_days,27,8.54793914019843
squeezed_Hải Dương,n_raining_days,28,6.902853876746184
squeezed_Trà Vinh,n_raining_days,28,9.468299896944313
squeezed_An Giang,Min_Humidity,29,5.827875250528347
squeezed_Ninh Thuận,Min_Humidity,29,5.937789672021431
squeezed_Khánh Hòa,n_raining_days,29,6.922185516052062
squeezed_Phú Yên,n_raining_days,29,7.803276695139031
squeezed_Quảng Ngãi,n_raining_days,29,8.019853657389916
squeezed_Long An,n_raining_days,29,8.668586881998829
squeezed_Đồng Tháp,n_raining_days,29,8.807315886881378
squeezed_Kiên Giang,n_raining_days,29,8.942576956429912
squeezed_Tiền Giang,n_raining_days,29,8.98188092952359
squeezed_Tây Ninh,n_raining_days,29,9.20248449304924
squeezed_Cần Thơ,n_raining_days,29,9.226936072626597
squeezed_Bạc Liêu,n_raining_days,29,9.777711173363393
squeezed_Cần Thơ,Min_Humidity,30,6.492468441559533
squeezed_Đà Nẵng,n_raining_days,30,7.440850895720301
squeezed_An Giang,n_raining_days,30,8.553882449430649
squeezed_Long An,Average_Humidity,31,3.9814471083828167
squeezed_Tiền Giang,Min_Humidity,31,6.07585203584094
squeezed_TT Huế,n_raining_days,31,7.5168075750476575
squeezed_Bình Phước,n_raining_days,31,9.969996311247112
squeezed_Kon Tum,n_raining_days,31,9.990074849592427
squeezed_Sóc Trăng,n_raining_days,31,10.343744754949997
squeezed_Phú Yên,Average_Humidity,32,3.4587242593580374
squeezed_Đồng Tháp,Average_Humidity,32,3.962272031324657
squeezed_Cà Mau,Min_Humidity,32,6.422598417431112
squeezed_Trà Vinh,Min_Humidity,32,6.6940199437517505
squeezed_Kon Tum,Average_Humidity,32,7.393163148523068
squeezed_Sóc Trăng,Min_Humidity,32,7.459947191385156
squeezed_Cà Mau,n_raining_days,32,9.688582428641665
squeezed_Đắk Lắk,n_raining_days,32,9.765286690650555
squeezed_Đắk Nông,n_raining_days,32,10.626449558116905
squeezed_Vĩnh Phúc,Average_Humidity,33,4.053995279002004
squeezed_Bạc Liêu,Min_Humidity,33,6.479349082406383
squeezed_Quảng Ngãi,Min_Humidity,33,6.613795817092696
squeezed_Yên Bái,Dengue_fever_rates,34,4.147406782633798
squeezed_Khánh Hòa,Min_Humidity,34,5.974452756847413
squeezed_Hưng Yên,Average_Humidity,35,4.547637345318442
squeezed_Lạng Sơn,Dengue_fever_rates,35,12.108843579914918
squeezed_Long An,Min_Humidity,36,7.485672724829124
squeezed_Đà Nẵng,Min_Humidity,36,8.162178307848297
squeezed_Vĩnh Phúc,Min_Humidity,36,8.21717947762449
squeezed_Phú Yên,Min_Humidity,37,8.032603122568771
squeezed_TT Huế,Min_Humidity,37,8.738273494718692
squeezed_Nam Định,Average_Humidity,38,3.9757572870472915
squeezed_Hòa Bình,Dengue_fever_rates,39,2.158259412782354
squeezed_Bình Phước,Min_Humidity,39,9.515670223267502
squeezed_Yên Bái,Average_Humidity,40,2.019946907966874
squeezed_Tuyên Quang,Average_Humidity,40,2.8580127921228407
squeezed_BR Vũng Tàu,Average_Humidity,40,3.3776559630984737
squeezed_Kiên Giang,Min_Humidity,40,8.53350496986479
squeezed_Bình Phước,Average_Humidity,41,6.407304122844721
squeezed_Đắk Lắk,Min_Humidity,41,10.41226353220545
squeezed_Bình Thuận,Average_Humidity,42,4.979601410876471
squeezed_Tây Ninh,Min_Humidity,42,9.154994290251931
squeezed_Cà Mau,Min_Average_Temperature,43,0.8440192960380001
squeezed_Hưng Yên,Dengue_fever_rates,45,5.370219043390578
squeezed_Quảng Bình,n_raining_days,46,6.337867196940987
squeezed_Bình Thuận,n_raining_days,46,7.199831966715889
squeezed_Hải Dương,Min_Humidity,46,10.354394442678133
squeezed_Cần Thơ,Min_Average_Temperature,47,0.9571428556132167
squeezed_Cà Mau,Average_temperature,47,0.9588239850689146
squeezed_Nam Định,n_raining_days,47,6.23608529100248
squeezed_Tuyên Quang,n_raining_days,47,6.6758693262734266
squeezed_Hưng Yên,Min_Humidity,47,9.48206465100896
squeezed_Kon Tum,Min_Humidity,47,10.054602991780136
squeezed_Thái Nguyên,Dengue_fever_rates,48,12.594593430246956
squeezed_Bình Phước,Average_temperature,49,1.098999879262467
squeezed_Hải Dương,Dengue_fever_rates,49,3.572996807953749
squeezed_Ninh Bình,Average_Humidity,49,3.780048464125571
squeezed_Bình Định,Average_Humidity,49,5.241707123837088
squeezed_Lâm Đồng,Average_Humidity,49,5.974441649607419
squeezed_Phú Thọ,n_raining_days,49,6.516041165474333
squeezed_Ninh Bình,n_raining_days,49,6.658147104488889
squeezed_Bắc Kạn,n_raining_days,49,7.039774255875784
squeezed_Hải Phòng,Min_Humidity,49,11.160422887446064
squeezed_Cần Thơ,Average_temperature,50,0.9661951448083558
squeezed_Cần Thơ,Max_Absolute_Temperature,50,1.0786631162959546
squeezed_Kiên Giang,Average_temperature,50,1.130997367267422
squeezed_Quảng Trị,n_raining_days,50,7.0161227054515125
squeezed_Thái Bình,Min_Humidity,50,10.560929411162078
squeezed_Đắk Nông,Min_Humidity,50,11.775578196008949
squeezed_Sóc Trăng,Average_temperature,51,0.9918138737187586
squeezed_Sóc Trăng,Min_Average_Temperature,51,1.0029735833775324
squeezed_BR Vũng Tàu,Max_Average_Temperature,51,1.0792255639819925
squeezed_Ninh Bình,Dengue_fever_rates,51,7.360561649006047
squeezed_Bạc Liêu,Average_temperature,52,1.0798571453279762
squeezed_BR Vũng Tàu,Average_temperature,52,1.1022531368664206
squeezed_Cà Mau,Max_Absolute_Temperature,52,1.1722424316842295
squeezed_Tây Ninh,Max_Absolute_Temperature,52,1.3482119552779726
squeezed_Hà Giang,n_raining_days,52,7.762279356113228
squeezed_Cà Mau,Min_Absolute_Temperature,53,1.0840535193560707
squeezed_Tây Ninh,Average_Humidity,53,3.3613518399760696
squeezed_Bình Thuận,Min_Humidity,53,5.4767959472274095
squeezed_Thái Nguyên,n_raining_days,53,7.172516021760779
squeezed_Quảng Nam,n_raining_days,53,7.767120731459677
squeezed_Tây Ninh,Average_temperature,54,1.0790383577742773
squeezed_Bạc Liêu,Min_Average_Temperature,54,1.1568268638915333
squeezed_Bạc Liêu,Max_Absolute_Temperature,54,1.1818122935945
