feature,importance
Dengue_fever_rates_lag1,8.174245
Diarrhoea_rates,1.5744215
month_cos,0.8808098
Dengue_fever_rates_rollmean_3,0.8575992
Diarrhoea_rates_lag11,0.4922949
Average_temperature,0.4850938
Max_Absolute_Temperature_lag1,0.35886714
Max_Average_Temperature_lag1,0.3584835
Max_Average_Temperature_lag2,0.3575807
Dengue_fever_rates_lag7,0.3568353
Dengue_fever_rates_lag9,0.33926833
Total_Rainfall_lag3,0.33517888
Dengue_fever_rates_lag6,0.3284964
Min_Absolute_Temperature,0.3185838
n_hours_sunshine_lag2,0.31675392
Dengue_fever_rates_lag12,0.30297726
Total_Rainfall_lag4,0.2992853
Dengue_fever_rates_lag10,0.28310525
n_hours_sunshine,0.28244126
Dengue_fever_rates_lag3,0.2688006
Dengue_fever_rates_rollstd_3,0.2642027
Total_Rainfall,0.25635818
Diarrhoea_rates_lag2,0.25026268
n_hours_sunshine_lag1,0.23645674
population_urban_lag12,0.23274022
Max_Absolute_Temperature_lag2,0.2277299
Min_Absolute_Temperature_lag12,0.22059417
Max_Absolute_Temperature_lag8,0.22015628
Average_temperature_lag12,0.21843475
Diarrhoea_rates_lag12,0.21746044
Influenza_rates,0.21396294
Dengue_fever_rates_rollstd_6,0.20652944
Total_Rainfall_lag5,0.20316054
Max_Average_Temperature,0.18869194
Dengue_fever_rates_lag2,0.18798444
Influenza_rates_lag9,0.18269964
Min_Humidity,0.17926991
Average_temperature_lag3,0.17698173
n_hours_sunshine_lag6,0.16661881
Total_Evaporation_lag3,0.16087376
n_hours_sunshine_lag3,0.16076796
Influenza_rates_lag11,0.15980834
Total_Evaporation,0.1560062
Average_temperature_lag1,0.1543671
Diarrhoea_rates_lag3,0.15352449
n_hours_sunshine_lag7,0.15184413
Min_Average_Temperature_lag5,0.15175696
Max_Average_Temperature_lag3,0.14932461
Max_Absolute_Temperature,0.14669907
Total_Rainfall_lag1,0.14440548
Total_Evaporation_lag4,0.13644317
n_hours_sunshine_lag10,0.13313791
Dengue_fever_rates_lag11,0.13269192
Min_Absolute_Temperature_lag1,0.13000828
Total_Evaporation_lag2,0.1294971
population_urban_lag10,0.1285229
Total_Evaporation_lag1,0.12175151
Dengue_fever_rates_rollmean_6,0.12161476
Min_Humidity_lag6,0.120893665
Total_Rainfall_lag7,0.11661124
Average_Humidity,0.11485962
Min_Average_Temperature_lag1,0.11216833
Min_Humidity_lag2,0.111416526
Total_Rainfall_lag6,0.10986194
Dengue_fever_rates_lag8,0.107166976
Min_Absolute_Temperature_lag5,0.10688226
Max_Daily_Rainfall_lag11,0.105955586
Max_Absolute_Temperature_lag12,0.103867084
Max_Daily_Rainfall_lag4,0.1032282
Min_Humidity_lag4,0.1024851
Min_Humidity_lag3,0.10127416
Diarrhoea_rates_lag10,0.10113876
Min_Absolute_Temperature_lag3,0.10039424
Average_temperature_lag2,0.099577725
Total_Rainfall_lag12,0.09860859
Min_Average_Temperature,0.09842614
n_raining_days_lag12,0.09819669
Total_Evaporation_lag10,0.0972572
Influenza_rates_lag12,0.096873924
n_hours_sunshine_lag12,0.09678949
Average_Humidity_lag12,0.0964171
Average_Humidity_lag3,0.0943549
Max_Average_Temperature_lag9,0.09135092
Min_Average_Temperature_lag2,0.09108327
Min_Absolute_Temperature_lag7,0.090172455
Average_temperature_lag7,0.089963
Min_Absolute_Temperature_lag2,0.0880126
n_hours_sunshine_lag4,0.08306674
Max_Average_Temperature_lag6,0.081336886
Min_Absolute_Temperature_lag9,0.08124176
Max_Daily_Rainfall_lag7,0.081140704
Min_Absolute_Temperature_lag10,0.079877995
population_urban_lag3,0.07777807
Min_Humidity_lag5,0.07751826
Max_Daily_Rainfall_lag5,0.07701984
Min_Absolute_Temperature_lag6,0.0769887
Max_Absolute_Temperature_lag3,0.07561422
n_raining_days,0.07547565
Total_Rainfall_lag9,0.075131916
Min_Absolute_Temperature_lag8,0.07456639
Total_Rainfall_lag2,0.07400912
Max_Absolute_Temperature_lag9,0.07200601
Average_Humidity_lag1,0.07122868
Average_temperature_lag4,0.07111962
Total_Rainfall_lag8,0.07107091
Dengue_fever_rates_lag5,0.07023154
Average_temperature_lag11,0.07019729
Max_Daily_Rainfall_lag1,0.07004569
Min_Absolute_Temperature_lag4,0.069648005
Diarrhoea_rates_lag4,0.069493145
population_urban_lag9,0.06508282
Max_Daily_Rainfall_lag12,0.06484189
Average_Humidity_lag9,0.06447549
Total_Evaporation_lag9,0.063873515
population_urban_lag4,0.062967464
Average_temperature_lag9,0.06289744
Total_Evaporation_lag8,0.06186161
Dengue_fever_rates_lag4,0.061733596
n_hours_sunshine_lag9,0.061564583
population_urban_lag11,0.061323788
Max_Daily_Rainfall,0.06098503
Diarrhoea_rates_lag9,0.060946062
Min_Humidity_lag7,0.060846396
Min_Humidity_lag9,0.060344603
Min_Average_Temperature_lag11,0.06031314
Average_temperature_lag6,0.059768055
Average_temperature_lag8,0.058719262
population_male,0.057684228
n_raining_days_lag1,0.056511283
n_raining_days_lag7,0.056044485
Min_Average_Temperature_lag6,0.05604281
population_urban,0.05593668
Max_Daily_Rainfall_lag6,0.055884585
Min_Humidity_lag11,0.05569899
Total_Evaporation_lag5,0.055692237
Influenza_rates_lag1,0.05558616
Total_Evaporation_lag11,0.054346755
Influenza_rates_lag2,0.05365239
Influenza_rates_lag5,0.05347974
Min_Average_Temperature_lag12,0.053104866
n_hours_sunshine_lag5,0.052924648
Max_Average_Temperature_lag5,0.052922744
Min_Humidity_lag1,0.051613405
Max_Absolute_Temperature_lag6,0.050976228
Min_Absolute_Temperature_lag11,0.050936855
population_male_lag6,0.050071422
Max_Average_Temperature_lag12,0.04976575
Min_Humidity_lag12,0.049423583
population_male_lag7,0.049207613
Min_Average_Temperature_lag3,0.047530904
Max_Average_Temperature_lag4,0.04724342
Total_Evaporation_lag7,0.04710187
Diarrhoea_rates_lag1,0.046543226
Diarrhoea_rates_lag6,0.0456939
Total_Rainfall_lag10,0.04548431
month_sin,0.045215786
Total_Rainfall_lag11,0.045082007
Max_Daily_Rainfall_lag2,0.04502659
