model,wilcoxon_stat,p_value
Naive,163007.0,3.523090878802485e-05
Prophet,235795.0,1.548616331258974e-17
XGBoost,328515.0,0.7533531635264457
HistGB,329038.0,0.7887576405754678
LSTM,285635.0,0.0023696458712315
