model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
Naive,13.615651483907444,28.69948482361164,38.75300490890962,16.967532224732615,36.00372572986895,44.19963013346175,17.730619855441343,36.03196932392789,47.53638241965957,17.726395240545656,35.61990086683062,48.59667676730396,18.41240623363956,37.46579178897999,50.50344006887646,19.51460200472965,39.630112153531314,52.85388777822217,155.5813858032227,0.8064516129032258,0.8620689655172413
XGBoost,14.43891716003418,25.95572119765939,43.25853884220123,15.93445873260498,29.679213481671397,45.70633471012116,17.06965446472168,32.130509316010695,48.71784448623657,18.23528861999512,34.05248204174146,51.37149095535278,19.45171165466309,36.59256909922082,54.00235652923584,20.28177833557129,39.45305847766669,56.51310682296753,155.5813858032227,0.803030303030303,0.913793103448276
HistGB,15.848941123788135,28.9036246121741,46.06732657994429,16.98191049558779,30.72128948765024,49.20583363807734,17.635022521380975,32.64763948382975,50.26383508361756,19.197050727835688,33.45788420173794,54.06590568059196,22.07641538967319,37.36462536202871,58.47515943713592,22.37081287007224,37.50598024010703,61.043327886603294,155.5813858032227,0.803030303030303,0.913793103448276
SeasonalNaive,17.51211025451583,31.91839833348492,46.88607694465734,19.225578733953185,35.467652310510765,48.43025086490452,20.810926364354827,39.28126117115269,50.9394102020176,21.731568626875028,41.78542750746055,52.54746840855733,22.296781215621195,43.46578830656056,53.5370415794139,22.721471425572847,44.34510101762042,55.13013538581012,155.5813858032227,0.6625,0.913793103448276
Prophet,23.111809072203886,37.16507399019344,66.71757646031008,24.016579454604877,39.3482531397739,68.57756235431522,24.74932449879404,39.943166856918985,71.13255102563721,25.97546197723112,41.895648303898696,73.42090866357611,26.68828438173793,43.19714664033121,75.43026886999932,27.2209896447418,44.51523390990461,76.84788703643348,155.5813858032227,0.704225352112676,0.8620689655172413
LSTM,26.394859313964844,38.35808615451897,63.11286687850952,26.796321868896484,39.374998449900765,64.30854201316833,27.03370857238769,39.42149722371507,65.8207654953003,27.395469665527344,39.79308972968014,67.53649711608887,27.432451248168945,39.79017691228499,68.47281455993652,27.566665649414062,39.75542139474109,69.90817785263062,156.95667724609365,0.6935483870967742,0.7543859649122807
