model,wilcoxon_stat,p_value
Naive,219584.5,2.3106476535403933e-23
Prophet,203684.0,6.1402824164916344e-30
XGBoost,255157.0,9.815319737503829e-12
HistGB,281624.0,7.975067430981477e-06
LSTM,167587.0,2.1547621573638757e-43
