feature,importance
Dengue_fever_rates,7.28670692333926
month_sin,1.6129512068359342
Dengue_fever_rates_rollmean_6,1.2248228665085679
Dengue_fever_rates_lag5,0.5032856328727314
month_cos,0.4680487098095258
Average_temperature,0.44946531926112915
Dengue_fever_rates_lag4,0.4362933290088115
Max_Absolute_Temperature,0.414673465373175
Dengue_fever_rates_lag7,0.38484311426163265
Max_Average_Temperature,0.3422918553693463
Dengue_fever_rates_lag12,0.31345983869467486
population_urban_lag12,0.2771744587914633
Max_Absolute_Temperature_lag5,0.2746772442520996
Min_Absolute_Temperature_lag8,0.2678564633059964
Dengue_fever_rates_lag6,0.2656956583306328
Dengue_fever_rates_lag11,0.2311965590614273
Total_Rainfall_lag3,0.22955149024213908
Max_Absolute_Temperature_lag4,0.22726117891113842
n_hours_sunshine_lag4,0.21610758717719977
Min_Absolute_Temperature,0.21549110645524053
Max_Absolute_Temperature_lag6,0.20900734477413932
Average_temperature_lag12,0.20789156546256948
Dengue_fever_rates_lag8,0.2015051953895699
Dengue_fever_rates_lag10,0.19843254146542819
Dengue_fever_rates_rollmean_3,0.19743459453239395
Dengue_fever_rates_rollstd_6,0.1967063185472988
Total_Rainfall_lag2,0.19333140540725693
Dengue_fever_rates_lag3,0.1911039471987435
Min_Absolute_Temperature_lag12,0.18404590314970357
Dengue_fever_rates_lag1,0.17918060323610127
n_hours_sunshine_lag3,0.17322960139767918
n_hours_sunshine,0.16542030198717275
n_raining_days_lag12,0.16191878895690717
Min_Average_Temperature,0.15789687551357773
n_hours_sunshine_lag1,0.15449354333845297
Dengue_fever_rates_lag9,0.15172537747539325
Average_temperature_lag9,0.1498147899963003
Min_Average_Temperature_lag10,0.14882691895888625
Min_Humidity_lag6,0.14629028519107165
Total_Rainfall,0.1455579982745692
Total_Rainfall_lag1,0.14163056373890295
Min_Humidity,0.13869811777943813
population_urban_lag2,0.13688290179093118
Min_Average_Temperature_lag9,0.13527842875242854
n_raining_days_lag8,0.13435292262318585
Max_Absolute_Temperature_lag3,0.13003611747971985
Average_temperature_lag6,0.12788432169174294
population_countryside,0.12732955044640437
n_hours_sunshine_lag2,0.1264179182788095
Max_Absolute_Temperature_lag12,0.12612688389129983
Min_Absolute_Temperature_lag9,0.12369464940058916
Dengue_fever_rates_lag2,0.12111635111777559
n_raining_days_lag7,0.12058291830388805
Max_Average_Temperature_lag12,0.11944066774507145
Min_Humidity_lag2,0.11816962164377216
Average_temperature_lag10,0.11387160927149786
Max_Absolute_Temperature_lag7,0.11021954571966498
Min_Humidity_lag7,0.11019102360487436
Min_Humidity_lag12,0.10988953309929682
n_raining_days_lag11,0.10973716782986014
population_urban_lag3,0.10816939620209705
n_raining_days_lag9,0.10804757040449413
Average_temperature_lag8,0.10718537900972137
Max_Daily_Rainfall_lag2,0.10693740793456441
