model,MAE@1,RMSE@1,SMAPE@1,MAE@2,RMSE@2,SMAPE@2,MAE@3,RMSE@3,SMAPE@3,MAE@4,RMSE@4,SMAPE@4,MAE@5,RMSE@5,SMAPE@5,MAE@6,RMSE@6,SMAPE@6,outbreak_threshold,precision,recall
Naive,24.04063702961424,48.65460378411043,36.92209622265919,29.96433637865859,54.288655159318694,44.93675096538398,32.10069741650881,58.697593145862385,48.13697995671076,33.601825619990066,59.49687700111361,50.72527553879169,32.0448760715218,57.333229406964435,51.222548166883676,33.568825007796896,59.48582385581936,54.72743650779467,547.79931640625,0.0,0.0
XGBoost,26.29610252380371,46.842337578773225,51.5470085144043,27.82318878173828,48.28591704789555,53.32485580444336,30.1539306640625,52.04247720462344,56.029380798339844,32.04048156738281,54.069634644826294,58.79603576660156,34.384239196777344,57.45673049266074,61.08649444580078,35.63609313964844,59.48988269090909,62.99958038330078,547.79931640625,0.0,0.0
HistGB,26.476625903755078,44.94252295324428,54.5392224883384,28.20718739458212,48.58209240042656,53.99320157815893,31.28755074860656,51.69825803435137,59.254630759741,32.64146164266339,54.71579190935574,58.91085258485448,33.72321626393388,56.065992319729716,60.73085472504057,35.67594714368606,58.73102680494266,62.32829447516966,547.79931640625,0.0,0.0
LightGBM,26.59104096462461,46.542663408507,52.15035058049274,27.869468856761518,48.1061788976222,53.836427160078394,30.511058221855286,52.482692132976965,55.82640299368498,31.777855815320763,54.149821049746805,58.77838980870177,34.32288026970049,57.27432150112847,61.49311505634885,35.519747471974014,58.73040334801157,63.57521903488098,547.79931640625,0.0,0.0
SeasonalNaive,33.57233366997251,57.3101756293752,49.078643597509966,34.35974784020537,58.480867903630504,50.87489928540776,34.7790695520061,59.52824587524938,51.832687185665115,35.153893534006386,60.1345282268285,53.345887977209,35.88881622564852,61.271966382552186,55.024083033229395,36.58408336843743,62.236369067444265,56.72131509219858,547.79931640625,0.0,0.0
LSTM,38.230567932128906,56.60443240222558,66.22323608398438,38.95071029663086,57.79572180520263,67.74082946777344,39.29524230957031,58.67618992122678,69.26535034179688,39.819313049316406,59.08354246517701,70.73500061035156,40.53881072998047,59.91435945372361,72.0091552734375,41.49781799316406,60.85893573333131,73.75408935546875,547.79931640625,0.0,0.0
Prophet,49.6599090391576,79.54542300785259,81.96323624299944,51.73468009438607,80.93110232947707,84.658046441442,54.352763895269405,84.66951673490085,87.14201521730854,55.68154274752427,88.04792386692928,88.18157789103329,56.96142819096069,90.52791683189318,90.31410990706914,57.5077661250383,90.7158093444625,90.8234623864816,547.79931640625,0.0,0.0
