model,wilcoxon_stat,p_value
Naive,265042.5,4.5558611154394904e-27
Prophet,224074.0,8.371506892207984e-53
XGBoost,316668.0,7.328857437050036e-18
HistGB,361312.0,7.174305683047017e-08
LightGBM,336188.0,6.000336819671865e-13
LSTM,321431.0,1.6960466994870825e-13
